Sample_ID,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx
"Sisson, T.W., Grove, T.L. (1993)",51.1,0.93,17.5,8.91,0.18,6.09,11.5,3.53,0.17,0,0.15,3.8,51.5,0.5,3.7,5.18,0.09,15.8,22.8,0.24,0,0.66
"Sisson, T.W., Grove, T.L. (1993)",51.5,1.19,19.2,8.7,0.19,4.98,10,3.72,0.42,0,0.14,6.2,50.3,0.73,4.12,5.83,0,15,22.7,0.24,0,0.28
"Sisson, T.W., Grove, T.L. (1993)",59.1,0.54,19.1,5.22,0.19,3.25,7.45,4,0.88,0,0.31,6.2,47.3,1.75,7.85,6.51,0.14,13.1,22.5,0.25,0,0.22
"Sisson, T.W., Grove, T.L. (1993)",52.5,0.98,19.2,8.04,0.2,4.99,9.64,4.15,0.21,0,0.14,6.2,51.1,0.63,4.41,5.66,0.13,15.6,22.6,0.23,0,0.27
"Sisson, T.W., Grove, T.L. (1993)",56.2,0.34,20.4,5.88,0.2,2.58,7.18,6.02,1.02,0,0.23,6.2,51,0.56,4.14,7.33,0.2,14.4,22.4,0.31,0,0.09
