,SiO2_Amp,TiO2_Amp,Al2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,Cr2O3_Amp,F_Amp,Cl_Amp,Sample_ID_Amp
59,38.76,5.45,15.87,11.3,0.21,10.88,10.66,2.66,2.01,0.0,0.0,0.0,59
60,45.3,1.78,12.38,7.6,0.07,16.9,11.3,2.4,0.27,0.16,0.0,0.0,60
61,44.0,1.44,11.96,8.7,0.13,16.7,11.43,2.3,0.27,0.26,0.0,0.0,61
62,40.4,3.03,15.3,12.1,0.15,13.6,10.3,2.94,0.34,0.08,0.0,0.0,62
63,40.6,2.67,15.0,12.7,0.18,13.0,10.1,2.78,0.26,0.08,0.0,0.0,63
64,41.8,2.13,13.8,11.1,0.16,14.8,11.0,2.37,0.44,0.0,0.0,0.0,64
65,42.18,2.0,13.73,11.0,0.17,14.74,11.11,2.23,0.41,0.0,0.0,0.0,65
66,41.940000000000005,2.668333333333333,12.515,12.040000000000001,0.18666666666666665,13.393333333333333,10.723333333333331,2.4699999999999998,0.29833333333333334,0.0,0.0,0.0,66
67,45.18,1.5,9.48,13.02,0.21,14.65,10.31,1.92,0.24,0.0,0.0,0.0,67
68,39.940999999999995,4.866042857142857,11.911857142857144,10.92307142857143,0.15535714285714283,14.150685714285716,11.567000000000002,2.636071428571429,1.2059,0.057428571428571426,0.0,0.0,68
69,40.134433333333334,4.3516,11.744666666666667,10.639933333333333,0.13593333333333332,14.755166666666668,11.637633333333333,2.6146999999999996,1.2580333333333333,0.08836666666666666,0.0,0.0,69
70,42.28,1.94,15.32,7.51,0.11,15.61,11.15,2.4,0.71,0.15,0.0,0.0,70
71,41.59,1.86,15.72,10.32,0.24,14.02,11.13,2.47,0.42,0.0,0.0,0.0,71
