,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Fe3Fet_Liq,NiO_Liq,CoO_Liq,CO2_Liq,SiO2_Liq_mol_frac,MgO_Liq_mol_frac,MnO_Liq_mol_frac,FeOt_Liq_mol_frac,CaO_Liq_mol_frac,Al2O3_Liq_mol_frac,Na2O_Liq_mol_frac,K2O_Liq_mol_frac,TiO2_Liq_mol_frac,P2O5_Liq_mol_frac,Cr2O3_Liq_mol_frac,Si_Liq_cat_frac,Mg_Liq_cat_frac,Mn_Liq_cat_frac,Fet_Liq_cat_frac,Ca_Liq_cat_frac,Al_Liq_cat_frac,Na_Liq_cat_frac,K_Liq_cat_frac,Ti_Liq_cat_frac,P_Liq_cat_frac,Cr_Liq_cat_frac,Mg_Number_Liq_NoFe3,Mg_Number_Liq_Fe3,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Si_Cpx_cat_6ox,Mg_Cpx_cat_6ox,Fet_Cpx_cat_6ox,Ca_Cpx_cat_6ox,Al_Cpx_cat_6ox,Na_Cpx_cat_6ox,K_Cpx_cat_6ox,Mn_Cpx_cat_6ox,Ti_Cpx_cat_6ox,Cr_Cpx_cat_6ox,oxy_renorm_factor,Al_IV_cat_6ox,Al_VI_cat_6ox,En_Simple_MgFeCa_Cpx,Fs_Simple_MgFeCa_Cpx,Wo_Simple_MgFeCa_Cpx,Cation_Sum_Cpx,Ca_CaMgFe,Lindley_Fe3_Cpx,Lindley_Fe2_Cpx,Lindley_Fe3_Cpx_prop,CrCaTs,a_cpx_En,Mgno_Cpx,Jd,"Jd_from 0=Na, 1=Al",CaTs,CaTi,DiHd_1996,EnFs,DiHd_2003,Di_Cpx,FeIII_Wang21,FeII_Wang21,Kd_Fe_Mg_Fe2,Kd_Fe_Mg_Fe2_Lind,Kd_Fe_Mg_Fet,lnK_Jd_liq,lnK_Jd_DiHd_liq_1996,lnK_Jd_DiHd_liq_2003,Kd_Fe_Mg_IdealWB,Mgno_Liq_noFe3,Mgno_Liq_Fe2,DeltaFeMg_WB,Sample_ID_Liq,Sample_ID_Cpx,P_kbar,T_K,
10,58.06708277,0.520603372,20.47141415,2.852295201,0.146155187,0.51449249,4.446083712,4.19356733,8.713174675,0,0.075131114,3.25,0,0,0,0,0.65822922,0.008694302,0.001403287,0.027039435,0.054000517,0.136748293,0.046083761,0.063001678,0.004438984,0.000360522,0,0.528191506,0.006976683,0.001126058,0.021697609,0.043332343,0.219465453,0.073959193,0.101110525,0.003562032,0.000578598,0,0.243301796,0.243301796,46.237,1.243,6.31975,9.532,0.363,9.98625,23.25725,0.37875,0.18975,0,1.800392381,0.579680242,0.310397022,0.970306668,0.290024263,0.028594157,0.009425792,0.011972071,0.036406432,0,0,0.199607619,0.090416645,0.311591727,0.16684568,0.521562593,4.037199029,0.521562593,0.064972267,0.245424756,0.209319877,0,-0.006960868,0.651261989,0.028594157,0,0.061822488,0.068892566,0.839591615,0.025242825,0.839591615,0.539543295,0.064972267,0.245424756,0.172173444,0.13613412,0.172173444,1.842842072,-5.94952125,-5.94952125,0.23013473,0.243301796,0.243301796,0.057961286,10,10,2,1198.15,
11,57.9147039,0.479531162,19.85748125,3.25120386,0.134755395,0.464577347,4.768096216,4.472308062,8.551148836,0,0.106193974,2.2,0,0,0,0,0.654798276,0.007830424,0.001290476,0.030741063,0.057761283,0.132303023,0.049019349,0.06166968,0.004078167,0.000508258,0,0.526576689,0.006297082,0.001037777,0.024721396,0.046450558,0.212791299,0.078840912,0.099187238,0.003279587,0.000817463,0,0.203005273,0.203005273,47.57142146,1.039148225,6.62898141,11.37083043,0.278413298,9.076861709,23.02399548,0.498006885,0.182341104,0,1.818363313,0.517224152,0.363481833,0.942949337,0.29863331,0.036907703,0.008891554,0.009013836,0.029877311,0,0,0.181636687,0.116996624,0.283619468,0.199314985,0.517065547,4.025342349,0.517065547,0.041793144,0.321688689,0.114980008,0,0.009313731,0.58727547,0.036907703,0,0.080088921,0.050773883,0.812086533,0.034309726,0.812086533,0.472093303,0.041793144,0.321688689,0.179007115,0.158424875,0.179007115,2.071148244,-5.54595897,-5.54595897,0.218233237,0.203005273,0.203005273,0.039226123,11,11,2,1223.15,
12,58.62045191,0.531755227,20.46263775,3.169617068,0.163853976,0.409538844,3.840022049,4.068742472,8.657598707,0,0.075781998,3.33,0,0,0,0,0.665445406,0.006930537,0.001575453,0.030090268,0.046705726,0.136883722,0.044775517,0.0626887,0.004540509,0.000364162,0,0.534617929,0.005567984,0.001265717,0.02417448,0.037523316,0.21994439,0.071945179,0.100728032,0.003647838,0.000585135,0,0.187201471,0.187201471,46.8958,1.192,5.8324,10.7206,0.492,9.7082,22.3414,0.4724,0.1816,0,1.824004494,0.562910326,0.348712119,0.931055298,0.267359839,0.035624517,0.009010862,0.016208476,0.034873672,0,0,0.175995506,0.091364333,0.305484954,0.189242053,0.505272993,4.029759603,0.505272993,0.050508345,0.298203775,0.144842527,0,0.020517127,0.617473973,0.035624517,0,0.055739817,0.060127845,0.815187636,0.048217404,0.815187636,0.494570215,0.050508345,0.298203775,0.142681833,0.122015436,0.142681833,2.063916064,-5.782125094,-5.782125094,0.223850159,0.187201471,0.187201471,0.081168326,12,12,2,1223.15,
13,60.35750891,0.496917139,16.89225822,4.905199045,0.133838537,1.921411822,4.360008121,4.189827077,6.439734218,0,0.303296913,3.29,0,0,0,0,0.665206971,0.031568539,0.001249372,0.045210375,0.051485617,0.109708459,0.044765014,0.045271197,0.004119447,0.001415008,0,0.553803948,0.026281718,0.001040138,0.037638939,0.042863258,0.182670899,0.074536325,0.075379148,0.003429558,0.00235607,0,0.411153485,0.411153485,51.51966667,0.513333333,2.830666667,9.139333333,0.272,13.613,20.57933333,0.331666667,0.104666667,0,1.939002481,0.763778995,0.287657586,0.829869414,0.125559902,0.024202169,0.005025419,0.008670804,0.014532297,0,0,0.060997519,0.064562382,0.405983395,0.152903136,0.441113469,3.998299065,0.441113469,0,0.287657586,0,0,0.129997988,0.726408067,0.024202169,0,0.040360214,0.010318653,0.779190547,0.136123017,0.779190547,0.561385933,-0.008427288,0.296084875,0.262981075,0.262981075,0.262981075,1.757113843,-5.075128575,-5.075128575,0.2441119,0.411153485,0.411153485,0.018869174,13,13,2,1273.15,
14,66.97504745,0.385711091,18.79231323,2.418934477,0.086711475,0.626683164,2.190849794,2.384735165,6.002959059,0,0.136055094,4.91,0,0,0,0,0.744864458,0.010390126,0.000816819,0.022498021,0.026106579,0.123160483,0.025711151,0.042585147,0.003226679,0.000640537,0,0.624835277,0.008715837,0.000685195,0.018872638,0.021899704,0.206628236,0.043135993,0.071445755,0.002706725,0.001074639,0,0.315915889,0.315915889,46.11,0.53575,6.3065,12.79875,0.29875,9.188,21.68225,0.50825,0.12475,0,1.81259017,0.538435927,0.420753801,0.913233811,0.292179548,0.038737271,0.006256099,0.009947124,0.015841495,0,0,0.18740983,0.104769719,0.287560969,0.224710805,0.487728226,4.047975246,0.487728226,0.089694393,0.331059408,0.21317548,0,0.034730488,0.561336325,0.038737271,0,0.066032447,0.060688691,0.786512672,0.086338528,0.786512672,0.436973043,0.089694393,0.331059408,0.36088638,0.283954253,0.36088638,2.409812954,-5.702214368,-5.702214368,0.213408556,0.315915889,0.315915889,0.147477824,14,14,2,1173.15,
15,62.39801391,0.499932877,17.75647935,3.276130328,0.083340452,1.12415847,3.126979148,4.755111414,6.764417963,0,0.215436091,6.84,0,0,0,0,0.69261785,0.018601972,0.000783545,0.030411657,0.03718956,0.116146652,0.051168272,0.047894086,0.004174112,0.001012294,0,0.569483406,0.015294891,0.000644245,0.025005035,0.030577954,0.190995917,0.084143029,0.078758835,0.003432033,0.001664655,0,0.379518661,0.379518661,49.82625,0.3925,2.863,8.38575,0.31775,13.77025,21.81025,0.415,0.11675,0,1.904672952,0.784716135,0.268077347,0.893297239,0.128985376,0.030757954,0.005693478,0.010288046,0.011285774,0,0,0.095327048,0.033658329,0.403226903,0.137751721,0.459021375,4.037774302,0.459021375,0.069855125,0.198222221,0.260578248,0,0.064440251,0.745359345,0.030757954,0,0.002900374,0.046213337,0.844183528,0.104304977,0.844183528,0.623136061,0.069855125,0.198222221,0.208961585,0.154510741,0.208961585,1.775185057,-5.880362467,-5.880362467,0.247636838,0.379518661,0.379518661,0.038675254,15,15,2,1223.15,
16,62.41105682,0.483285986,18.4337564,2.492060164,0.069139225,0.782482312,2.456996859,5.195159374,7.351380156,0,0.324682708,4.51,0,0,0,0,0.697782201,0.013041917,0.000654739,0.023300909,0.029433106,0.121450446,0.056308553,0.052427093,0.004064359,0.001536678,0,0.566509135,0.010588354,0.000531563,0.018917333,0.023895885,0.197204191,0.091430563,0.085128073,0.003299735,0.002495169,0,0.358850395,0.358850395,49.0494,0.6566,4.5166,11.1146,0.3094,11.761,20.6224,0.4466,0.1362,0,1.877165728,0.670998753,0.355728572,0.84563171,0.20372178,0.033138647,0.006649738,0.010029386,0.018901631,0,0,0.122834272,0.080887508,0.358370772,0.189989508,0.45163972,4.021965944,0.45163972,0.03728215,0.318446422,0.104805049,0,0.100629219,0.653524037,0.033138647,0,0.047748861,0.037542706,0.760340143,0.133193591,0.760340143,0.492099335,0.03728215,0.318446422,0.296732827,0.265633728,0.296732827,1.745160111,-6.37459593,-6.37459593,0.230555471,0.358850395,0.358850395,0.066177356,16,16,2,1223.15,
17,63.51651926,0.466734049,18.19215889,2.604928882,0.071061988,0.845444708,2.648827782,4.759780937,6.587734843,0,0.306808662,2.4,0,0,0,0,0.706749337,0.014024018,0.000669732,0.024239887,0.031579524,0.119286111,0.051343187,0.046756649,0.003906409,0.001445146,0,0.57985831,0.011506121,0.000549487,0.019887814,0.02590968,0.195738543,0.084249881,0.076723754,0.003205045,0.002371364,0,0.366500012,0.366500012,49.398,0.647166667,4.8895,11.53616667,0.320666667,11.41566667,21.26033333,0.4245,0.151833333,0,1.868322259,0.643653666,0.3648883,0.861560199,0.21795347,0.031129149,0.00732602,0.010272623,0.018411452,0,0,0.131677741,0.086275729,0.344181017,0.195116773,0.460702209,4.023517138,0.460702209,0.039708257,0.325180043,0.108823048,0,0.08716617,0.638194451,0.031129149,0,0.05514658,0.03826558,0.768148039,0.120196963,0.768148039,0.485290755,0.039708257,0.325180043,0.327981677,0.292289711,0.327981677,1.725275976,-6.215173373,-6.215173373,0.227704168,0.366500012,0.366500012,0.100277509,17,17,2,1223.15,
18,64.5890992,0.351832722,18.19689669,2.991335126,0.093665502,0.708661275,2.107468821,4.042477865,6.715130057,0,0.203432737,2.97,0,0,0,0,0.719569427,0.011769573,0.000883849,0.027869844,0.025156358,0.119464185,0.043659451,0.047719562,0.002948351,0.0009594,0,0.593800862,0.009712451,0.000729367,0.022998667,0.020759452,0.197167732,0.072057034,0.078757979,0.002433029,0.001583426,0,0.296908928,0.296908928,48.68533333,0.548,4.467,11.51166667,0.340333333,11.44066667,20.38,0.468666667,0.175666667,0,1.878952249,0.658229699,0.37154532,0.84274253,0.203184448,0.035069437,0.008648992,0.011125184,0.015908441,0,0,0.121047751,0.082136697,0.351521244,0.198420207,0.450058548,4.0254063,0.450058548,0.042163608,0.329381712,0.113481737,0,0.099522483,0.639189875,0.035069437,0,0.04706726,0.036990245,0.758685024,0.135544997,0.758685024,0.479766469,0.042163608,0.329381712,0.238374889,0.211323693,0.238374889,1.945995085,-6.115052741,-6.115052741,0.227889317,0.296908928,0.296908928,0.010485572,18,18,2,1223.15,
19,62.02780263,0.458938142,17.9441408,3.163844452,0.087587033,1.176364878,3.147458681,4.971262011,6.781060277,0,0.241541088,6.21,0,0,0,0,0.688889215,0.01947662,0.000823925,0.029385569,0.037453824,0.117439063,0.053523781,0.048038467,0.003833952,0.001135584,0,0.564599938,0.015962651,0.000675273,0.02408383,0.030696411,0.192501454,0.087734059,0.078742749,0.003142231,0.001861405,0,0.398595087,0.398595087,51.7065,0.2715,1.96375,8.9415,0.345,14.80825,20.548,0.43925,0.18975,0,1.942616382,0.829381204,0.280936573,0.827150618,0.08695309,0.031996378,0.009094571,0.010978579,0.007672576,0,0,0.057383618,0.029569472,0.428074701,0.145001887,0.426923412,4.026779971,0.426923412,0.044465371,0.236471202,0.158275479,0,0.123322992,0.746970112,0.029569472,1,0,0.028691809,0.798458809,0.155929484,0.798458809,0.59059028,0.044465371,0.236471202,0.224508904,0.188974649,0.224508904,1.703359623,-5.916168234,-5.916168234,0.247936441,0.398595087,0.398595087,0.023427537,19,19,2,1248.15,
