,Reference,Sample,T_C,T_K,T_sd,P_kbar,P_sd,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,F_Amp,Cl_Amp,Total,Altot,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
10,Mutch et al. (2016),MC1314 R12 B ,680,953.15,15,4.3,0.05,44.59,0.81,9.97,0.04,22.94,0.68,6.43,10.46,1.0,0.76,,0.04,97.73,1.79,0.7421276879036016,0.15953751488685985,0.31929404559752805,0.1865225842115587,0.19556497092025385,0.03226899433679149,0.016136737618769575,0.009585970650013393,0.01013792585546572,0.0005263497251796498,0.0,0.0011282543085211407,6.714804706059555,1.4435026117695315,2.8889868885656895,1.6876647329897927,1.7694806547175959,0.2919713124362531,0.14600592791389955,0.08673429368292178,0.09172840921252155,0.0047624359921854265,0.0,0.010208495739986197,1.436774465538902,6.714804706059555,1.2851952939404452,0.0,0.0047624359921854265,0.7993839724163294,1.4435026117695315,2.08960291614936,0.08673429368292178,1.6876647329897927,0.2919713124362531,0.0,0.14600592791389955,0.4842853607771507,0.09172840921252155,45.20061602758367,97.72000000000004,1.8692687548515192,0.7993839724163294,2.08960291614936,7.054254600091445,16.592491674569388,-0.00902547034101488,100.28698955917137,,Low B Cations,False,0.40856481652270354,0.3331808678723497,0.2919713124362531,1.9796360454260458,0.14600592791389955,N/A,low-Mg
11,Mutch et al. (2016),MC1314 RB02,700,973.15,20,2.5,0.02,47.08,1.05,8.26,,16.49,0.39,12.23,10.65,1.34,0.62,,0.1,98.22,1.426,0.7835696691298848,0.30344382691544264,0.22951869275951337,0.18991066174503826,0.16202273418267768,0.0432404524113006,0.013164180688996233,0.005497836108095917,0.013141755738566673,0.0,0.0,0.0028206357713028516,6.803662181340998,2.634774380226506,1.9928893515911208,1.6489765212364065,1.4068282534471406,0.3754528057492683,0.1143033502069066,0.047737196935404645,0.1141086364588292,0.0,0.0,0.024491316701756815,1.4971945148341812,6.803662181340998,1.1963378186590017,0.0,0.0,0.9699209125242163,2.634774380226506,1.0229684390669045,0.047737196935404645,1.6489765212364065,0.3510234787635935,0.024429326985674793,0.1143033502069066,0.2104904347881389,0.1141086364588292,45.030079087475784,98.21000000000001,1.933894346111701,0.9699209125242163,1.0229684390669045,8.919112526354944,8.464468710591113,-0.0225636758525372,101.01491190720525,,,True,0.7203279482441802,0.569353032743292,0.3510234787635935,2.0,0.1387326771925814,N/A,Mg-Hornblende
12,Mutch et al. (2016),MC1314 RB03,690,963.15,20,3.0,0.02,46.0,1.35,9.5,,15.72,0.36,12.02,10.23,1.55,0.71,,0.03,97.48,1.646,0.7655948338992077,0.2982334259626836,0.21880132505637057,0.1824212271973466,0.18634575965320074,0.050016941222026816,0.015075110143850523,0.005074925638242384,0.016896543092442866,0.0,0.0,0.0008461907313908554,6.675444591243598,2.600384200780465,1.9077925519241057,1.590583870871398,1.624803013681132,0.43611229460710366,0.1314442809908211,0.0442497564021293,0.14732588596857146,0.0,0.0,0.007378183721870847,1.4909468133021477,6.675444591243598,1.3245554087564022,0.0,0.0,0.9809317145537975,2.600384200780465,0.9268608373703082,0.0442497564021293,1.590583870871398,0.40941612912860204,0.02669616547850162,0.1314442809908211,0.3002476049247298,0.14732588596857146,45.0190682854462,97.47,1.9425070577167554,0.9809317145537975,0.9268608373703082,8.9827232486027,7.637230970823536,-0.006769102755761159,100.30569217438723,,,True,0.7372281122107034,0.5768150503904772,0.40941612912860204,2.0,0.1581404464693227,N/A,Mg-Hornblende
13,Mutch et al. (2016),FSC1332 R01 ,760,1033.15,20,0.8,0.02,53.55,0.25,1.63,,14.59,0.52,17.42,10.61,0.22,0.22,,0.01,99.01,0.271,0.8912522468544037,0.4322151647479159,0.2030732399855246,0.18919738226430569,0.031973009287864965,0.0070991787540941285,0.0046711608896438245,0.007330448144127888,0.0031289894615634936,0.0,0.0,0.00028206357713028517,7.3846257914310565,3.5811940607275585,1.6825987152788109,1.5676278782705533,0.26491793973048283,0.05882148259428409,0.038703717497862236,0.060737705423948185,0.025925787408143774,0.0,0.0,0.0023370869177061137,1.5689730984814005,7.3846257914310565,0.26491793973048283,0.3504562688384607,0.0,1.6811979459578694,3.5811940607275585,0.001400769320941464,0.060737705423948185,1.5676278782705533,0.05882148259428409,0.0,0.038703717497862236,0.0,-0.32453048143031693,44.31880205404213,99.02,2.0493365114546855,1.6811979459578694,0.001400769320941464,16.20098576825118,0.012146226076934488,-0.00225636758525372,102.69021213819754,,Low B Cations,False,0.9996090070500876,0.6803448032854752,0.05882148259428409,1.6264493608648374,0.038703717497862236,N/A,Mg-Hornblende
14,Mutch et al. (2016),FSC1332 R04 ,730,1003.15,20,1.5,0.02,49.25,0.66,5.11,0.05,17.21,0.8,12.54,10.54,0.8,0.32,,0.03,97.32,0.885,0.8196857732507822,0.3111353711790393,0.23954012749491968,0.18794914317302375,0.10023440335030061,0.025815195469433196,0.0067944158394819265,0.011277612529427522,0.008260532178527624,0.0006579371564745623,0.0,0.0008461907313908554,7.147822625949259,2.7131621877817382,2.088837453333613,1.6389538307735096,0.8740638907570782,0.2251136280405625,0.05924865460937852,0.09834301952666467,0.07203348006626555,0.005737342585379692,0.0,0.007378951121375141,1.4907917571394715,7.147822625949259,0.8521773740507408,0.0,0.005737342585379692,1.118216610429542,2.7131621877817382,0.9706208429040712,0.09834301952666467,1.6389538307735096,0.2251136280405625,0.0,0.05924865460937852,0.021886516706337455,0.07203348006626555,44.88178338957046,97.30999999999997,1.9423042919655638,1.118216610429542,0.9706208429040712,10.238822507667729,7.996976825420398,-0.006769102755761159,100.27133452229792,,Low B Cations,False,0.7365151978770663,0.5650067452215713,0.2251136280405625,1.8640674588140722,0.05924865460937852,N/A,Mg-Hornblende
15,Mutch et al. (2016),FSC1332 R05 ,680,953.15,15,4.3,0.05,44.93,1.92,9.33,,14.74,0.27,13.78,10.14,1.84,0.51,,0.01,97.46,1.607,0.747786432328074,0.34190154823342594,0.20516103888873424,0.1808163483656984,0.1830111513225645,0.05937494957969635,0.01082860024417432,0.0038061942286817885,0.02403063906480763,0.0,0.0,0.00028206357713028517,6.456294721987098,2.951935293110844,1.7713348026533808,1.5611457832525475,1.5800954380384735,0.5126359038050333,0.09349278293979305,0.03286220590147689,0.2074775383087273,0.0,0.0,0.00243530171926428,1.505697004066288,6.456294721987098,1.5437052780129017,0.0,0.0,1.36393978811995,2.951935293110844,0.40739501453343085,0.03286220590147689,1.5611457832525475,0.4388542167474525,0.07378168705758081,0.09349278293979305,0.03639016002557183,0.2074775383087273,44.63606021188005,97.47000000000001,1.9665908495272306,1.36393978811995,0.40739501453343085,12.613623895983023,3.3901002256758828,-0.00225636758525372,100.69805860360091,,,True,0.8787273125222641,0.6249770250822849,0.4388542167474525,2.0,0.16727446999737386,N/A,Tschermakitic pargasite
16,Mutch et al. (2016),CMA201,810,1083.15,20,1.0,0.02,52.82,0.97,4.0,0.01,7.63,0.12,18.56,12.11,0.76,0.46,,0.08,97.51,0.665,0.8791025897077425,0.4605001984914648,0.10619937087659716,0.21594536279177587,0.0784613724855582,0.024524435695961536,0.00976697276925527,0.0016916418794141281,0.012140479110866355,0.00013158743129491245,0.0,0.0022565086170422814,7.4295483587505675,3.8918193780363977,0.8975213710368805,1.8250162546362294,0.6630995835983053,0.20726304655158512,0.08254349077950723,0.014296551160170323,0.1026026742596323,0.001112083158046815,0.0,0.019070402122039545,1.538227239982938,7.4295483587505675,0.5704516412494325,0.0,0.001112083158046815,0.33164722061969343,3.8918193780363977,0.565874150417187,0.014296551160170323,1.8250162546362294,0.1749837453637706,0.032279301187814524,0.08254349077950723,0.09264794234887286,0.1026026742596323,45.66835277938031,97.52000000000001,1.9923476059635978,0.33164722061969343,0.565874150417187,3.133314239836501,4.8106038552542945,-0.01805094068202976,99.80821476037238,,,True,0.8730567395884898,0.8126002266156259,0.1749837453637706,2.0,0.11482279196732176,N/A,Mg-Hornblende
17,Johnson and Rutherford (1989),68,780,1053.15,15,2.0,0.02,46.51,1.32,7.37,,14.78,0.7,14.54,11.64,1.56,0.79,,,99.21,1.258,0.7740829505359164,0.36075823739579194,0.20571778526292345,0.2075643288931686,0.144565078804641,0.050339631165394735,0.016773714103721006,0.00986791096324908,0.01652106435705525,0.0,0.0,0.0,6.657619335780485,3.10275664276741,1.7693074158682554,1.7851888980383137,1.2433541692942258,0.43295373134205173,0.14426490503695097,0.08487048421258189,0.14209195207704212,0.0,0.0,0.0,1.5115130273195772,6.657619335780485,1.2433541692942258,0.09902649492528948,0.0,1.0096268225350897,3.10275664276741,0.7596805933331656,0.08487048421258189,1.7851888980383137,0.2148111019616863,0.21814262938036544,0.14426490503695097,0.0,0.04306545715175264,44.99037317746491,99.21000000000001,1.9765939588025239,1.0096268225350897,0.7596805933331656,9.373026976674485,6.346030694702204,-0.0,102.12565163017922,,Recalc Total>102,False,0.8033157442060803,0.6368464382704118,0.2148111019616863,2.0,0.36240753441731643,N/A,Mg-Hornblende
18,Johnson and Rutherford (1989),78c,780,1053.15,15,2.0,0.02,46.88,1.24,7.38,,14.44,0.74,14.24,11.56,1.29,0.82,,,98.59,1.258,0.7802409959390187,0.3533148074632791,0.20098544108231495,0.2061377699317035,0.14476123223585488,0.04162700269446103,0.017410690588672437,0.010431791589720456,0.015519787729354927,0.0,0.0,0.0,6.738485710441948,3.0513736060658503,1.7357938506039514,1.780291505184788,1.250218201715097,0.35950810619425244,0.15036596429991334,0.0900932903135146,0.13403534085963884,0.0,0.0,0.0,1.505254056039543,6.738485710441948,1.250218201715097,0.011296087842955327,0.0,0.934282614817981,3.0513736060658503,0.8015112357859704,0.0900932903135146,1.780291505184788,0.21970849481521193,0.1397996113790405,0.15036596429991334,0.0,0.12273925301668351,45.06571738518202,98.59,1.9684091502055563,0.934282614817981,0.8015112357859704,8.637641325685685,6.667740089482644,-0.0,101.42379056537389,,,True,0.7919711414471609,0.6374069078812926,0.21970849481521193,2.0,0.29016557567895385,N/A,Mg-Hornblende
19,Johnson and Rutherford (1989),107,760,1033.15,15,2.0,0.02,47.19,1.33,7.54,,14.86,0.68,14.27,11.46,1.56,0.81,,,99.7,1.274,0.7854004393848611,0.35405915045653036,0.20683127801130194,0.20435457122987216,0.1478996871352772,0.050339631165394735,0.017198365093688626,0.009585970650013393,0.016646223935517786,0.0,0.0,0.0,6.715372888801676,3.0272955052968196,1.7684598674290883,1.7472833964984744,1.2645798238009425,0.43041660967892215,0.14705038206029794,0.08196247950455289,0.1423294351669195,0.0,0.0,0.0,1.5204227495735019,6.715372888801676,1.2645798238009425,0.020047287397381375,0.0,0.9479817435256948,3.0272955052968196,0.8204781239033936,0.08196247950455289,1.7472833964984744,0.2527166035015256,0.17770000617739656,0.14705038206029794,0.0,0.12228214776953814,45.052018256474305,99.69999999999999,1.9882451340576563,0.9479817435256948,0.8204781239033936,8.852611905619181,6.8943068179031295,-0.0,102.57516385757995,,Recalc Total>102,False,0.7867654901325535,0.6312447716815265,0.2527166035015256,2.0,0.32475038823769453,N/A,Mg-Hornblende
