,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
70,44.03,2.96,7.67,12.62,0.61,7.9,22.68,0.83,0.34,0.0,70
71,42.56,2.16,8.67,12.24,0.43,8.73,22.78,0.8,0.26,0.0,71
72,42.4,2.29,9.11,12.92,0.55,8.14,22.25,0.99,0.3,0.0,72
73,45.68,1.58,6.75,13.04,0.6,8.27,22.92,0.76,0.27,0.0,73
74,44.0,1.64,7.66,11.08,0.47,9.69,22.91,0.74,0.17,0.0,74
75,43.68,2.05,9.02,12.09,0.59,8.31,21.97,1.07,0.45,0.0,75
76,43.45,1.52,8.7,12.48,0.53,8.67,22.27,1.08,0.36,0.0,76
77,43.24,1.73,7.91,12.91,0.73,8.64,22.14,1.2,0.18,0.0,77
78,44.21,2.26,7.41,12.34,0.42,8.51,23.57,0.5,0.21,0.0,78
79,42.03,1.29,7.7,12.77,0.48,9.49,23.1,0.74,0.14,0.0,79
80,42.44,1.38,8.51,13.14,0.72,8.01,22.66,1.26,0.18,0.0,80
81,46.4,1.56,7.86,12.98,0.53,7.7,22.68,0.52,0.39,0.0,81
82,40.94,2.24,9.72,14.33,0.58,7.63,22.57,1.08,0.18,0.0,82
83,45.87,1.83,6.14,13.07,0.54,8.49,23.34,0.53,0.22,0.0,83
84,43.93,2.21,7.11,13.9,0.59,7.56,22.78,0.69,0.21,0.0,84
85,51.06,0.62,3.16,6.18,0.12,15.78,20.82,0.27,0.0,0.01,85
86,51.51,0.7,2.76,7.5,0.2,15.73,20.49,0.29,0.0,0.03,86
87,51.43,0.66,3.03,6.76,0.15,15.98,20.98,0.29,0.0,0.06,87
88,53.32,0.48,2.25,5.92,0.15,16.91,20.73,0.28,0.0,0.12,88
89,51.99,0.61,2.81,6.57,0.14,16.35,20.26,0.28,0.0,0.21,89
90,51.49,0.6,2.57,6.98,0.22,16.77,19.42,0.25,0.0,0.24,90
91,51.31,0.48,2.44,6.48,0.17,16.01,20.97,0.28,0.0,0.33,91
92,52.68,1.06,2.54,7.52,0.0,17.3,19.44,0.26,0.03,0.0,92
93,51.48,1.75,4.37,10.4,0.0,14.44,18.18,0.4,0.05,0.0,93
94,51.74,1.47,2.99,10.85,0.0,15.17,18.63,0.25,0.01,0.0,94
95,51.12,0.1,8.07,3.57,0.0,17.95,17.26,0.77,0.0,1.16,95
96,51.58,0.0,7.28,3.75,0.0,19.55,15.94,0.7,0.0,1.2,96
97,52.16,0.37,6.3,3.2,0.0,16.74,19.1,1.25,0.0,0.88,97
98,51.36,0.3,7.1,3.5,0.0,16.4,19.6,0.9,0.0,0.84,98
99,51.82,0.0,6.36,3.52,0.0,18.8,17.75,0.4,0.0,1.35,99
100,51.93,0.0,5.97,3.54,0.0,18.0,18.54,0.42,0.0,1.6,100
101,51.9,0.3,6.11,3.24,0.0,16.95,19.6,0.7,0.0,1.2,101
102,52.11,0.0,5.63,3.69,0.0,18.88,17.77,0.31,0.0,1.61,102
103,48.52,0.66,6.93,5.54,0.08,14.58,23.26,0.22,0.0,0.0,103
104,48.63,0.62,8.02,5.61,0.15,14.19,22.59,0.42,0.0,0.0,104
105,48.52,0.61,6.69,5.73,0.11,14.36,22.45,0.43,0.0,0.0,105
106,52.8,0.15,0.68,19.5,0.59,21.7,3.84,0.04,0.0,0.35,106
107,52.0,0.17,1.12,22.3,0.61,17.9,5.82,0.02,0.0,0.18,107
108,52.7,0.13,0.64,18.6,0.85,19.3,7.11,0.04,0.0,0.33,108
109,51.9,0.32,1.32,14.6,0.49,13.8,17.0,0.12,0.0,0.14,109
110,50.1,0.38,2.13,19.2,0.6,12.7,13.9,0.09,0.0,0.07,110
111,52.1,0.63,6.33,4.62,0.07,14.3,19.8,0.52,0.33,0.17,111
112,51.3,0.36,3.63,5.13,0.13,15.9,21.1,0.26,0.05,0.14,112
113,53.2,0.38,2.98,4.45,0.03,16.3,23.6,0.21,0.07,0.28,113
114,53.7,0.27,2.54,3.94,0.04,16.3,23.8,0.17,0.11,0.33,114
115,49.8,0.69,4.94,6.3,0.19,15.0,21.5,0.37,0.15,0.17,115
116,51.1,0.48,4.32,4.74,0.1,15.6,22.5,0.3,0.08,0.52,116
117,48.6,0.67,7.11,6.43,0.12,14.0,21.3,0.47,0.16,0.28,117
118,48.9,0.45,5.38,5.6,0.12,15.3,21.9,0.34,0.09,0.38,118
119,50.2,0.57,5.02,4.5,0.11,15.6,22.1,0.28,0.11,0.3,119
120,49.5,0.79,7.57,6.52,0.24,14.4,20.9,0.54,0.2,0.11,120
121,50.6,0.56,4.6,5.03,0.13,15.8,22.8,0.27,0.06,0.25,121
122,48.8,0.83,7.33,6.44,0.19,14.2,21.4,0.47,0.24,0.1,122
123,49.9,0.71,6.39,6.37,0.13,14.9,21.1,0.43,0.18,0.09,123
124,49.6,0.62,5.28,5.52,0.13,15.2,22.7,0.33,0.11,0.17,124
125,48.9,0.84,6.02,5.99,0.16,14.6,22.7,0.28,0.06,0.15,125
126,48.8,0.73,8.05,7.83,0.19,13.0,17.8,0.83,0.51,0.09,126
127,50.1,0.69,6.24,8.11,0.2,14.6,19.7,0.46,0.17,0.12,127
128,50.5,0.77,6.38,6.87,0.12,13.8,19.9,0.56,0.4,0.04,128
129,50.9,0.46,2.18,14.77,0.4,19.11,9.95,0.11,0.0,0.0,129
130,50.8,0.56,8.04,8.18,0.18,17.11,15.21,0.52,0.0,0.0,130
131,49.1,1.08,7.17,9.54,0.27,15.82,15.52,0.53,0.0,0.0,131
132,51.6,0.57,6.23,7.63,0.22,18.38,15.29,0.37,0.0,0.0,132
133,49.4,0.74,7.29,9.83,0.23,15.22,15.44,0.76,0.0,0.0,133
134,49.1,0.48,8.6,8.8,0.23,17.38,13.39,0.61,0.0,0.0,134
135,50.4,0.29,9.96,6.47,0.18,17.5,14.28,0.68,0.0,0.0,135
136,48.5,0.29,12.05,6.02,0.17,16.16,14.1,1.0,0.0,0.0,136
137,49.4,0.34,12.83,6.24,0.16,15.17,14.8,1.31,0.0,0.0,137
138,48.6,0.77,7.33,10.14,0.24,15.21,14.6,0.74,0.0,0.0,138
139,48.6,0.54,10.96,7.26,0.14,13.46,14.92,1.6,0.0,0.0,139
140,49.4,0.53,9.27,8.77,0.21,16.36,13.84,0.76,0.0,0.0,140
141,50.0,0.39,9.88,6.96,0.2,17.17,14.08,0.69,0.0,0.0,141
142,49.9,0.34,9.6,6.65,0.19,18.38,13.15,0.63,0.0,0.0,142
143,48.6,0.46,11.78,6.81,0.16,14.35,14.9,1.34,0.0,0.0,143
144,49.2,0.32,11.25,5.92,0.17,16.34,13.95,0.89,0.0,0.0,144
145,50.2,0.52,11.52,7.03,0.15,14.22,14.9,1.6,0.0,0.0,145
146,50.1,0.53,11.13,6.7,0.15,13.91,15.51,1.71,0.0,0.0,146
147,49.88,0.33,8.1,3.21,0.12,16.04,19.95,0.83,0.0,1.21,147
148,51.16,0.37,7.15,3.42,0.05,16.94,19.03,0.74,0.0,1.32,148
149,51.42,0.34,7.71,3.42,0.13,17.24,18.74,0.91,0.0,1.06,149
150,49.96,0.62,10.38,2.87,0.09,15.06,20.3,1.14,0.0,0.52,150
151,51.28,0.26,8.1,4.64,0.07,17.45,17.15,1.08,0.0,0.43,151
152,52.31,0.35,7.84,5.42,0.09,16.82,16.35,1.31,0.0,0.3,152
153,52.31,0.35,7.84,5.42,0.09,16.82,16.35,1.31,0.0,0.3,153
154,53.12,0.79,4.56,6.26,0.0,19.88,14.26,1.19,0.06,0.0,154
155,53.78,0.56,3.71,6.03,0.0,21.43,13.04,1.04,0.0,0.0,155
156,51.9,0.0,6.3,4.61,0.0,21.6,13.8,0.3,0.0,1.5,156
157,53.0,0.11,4.5,5.1,0.2,24.7,10.9,0.16,0.0,1.5,157
158,52.3,0.21,5.5,5.3,0.0,19.9,16.0,0.26,0.0,1.0,158
159,52.9,0.16,4.6,5.0,0.0,20.9,15.1,0.32,0.0,1.1,159
160,51.5,0.24,6.1,5.1,0.1,20.5,14.9,0.35,0.0,1.6,160
161,51.51,0.57,6.41,4.31,0.3,18.47,17.08,0.56,0.0,0.98,161
162,52.1,0.19,4.93,3.32,0.13,20.49,16.59,0.27,0.0,1.97,162
163,51.57,0.12,6.42,3.76,0.0,20.56,15.43,0.44,0.0,1.71,163
164,51.6,0.42,7.3,3.7,0.0,18.4,17.0,0.46,0.0,1.2,164
165,51.64,0.38,8.16,3.97,0.0,19.66,14.85,0.66,0.0,0.75,165
166,51.7,0.23,6.1,3.6,0.0,19.7,16.7,0.3,0.0,1.74,166
167,51.84,0.25,7.19,3.7,0.0,19.0,16.41,0.8,0.0,0.82,167
168,51.1,0.2,7.09,4.11,0.04,20.42,15.19,0.46,0.0,1.4,168
169,51.9,0.18,5.7,3.9,0.11,20.7,15.8,0.33,0.0,1.4,169
170,56.4,0.0,1.6,2.1,0.0,23.6,16.1,0.3,0.0,0.0,170
171,52.38,0.58,5.4,4.3,0.05,18.5,17.0,0.93,0.0,0.84,171
172,51.34,0.43,6.3,4.06,0.12,18.7,17.2,0.69,0.0,1.11,172
173,51.62,0.26,5.66,3.48,0.1,20.57,16.4,0.37,0.0,1.55,173
174,51.61,0.31,5.79,3.6,0.11,20.78,15.7,0.47,0.0,1.62,174
175,50.77,0.17,4.08,4.56,0.1,16.2,23.03,0.25,0.0,0.35,175
176,48.77,0.41,5.71,7.2,0.18,15.27,20.93,0.36,0.0,0.12,176
177,51.82,0.24,4.05,5.95,0.15,17.25,20.57,0.36,0.0,0.4,177
178,50.55,0.29,4.74,5.87,0.16,16.14,20.78,0.35,0.0,0.45,178
179,51.51,0.29,3.83,6.06,0.15,17.6,19.71,0.23,0.0,0.41,179
180,51.27,0.38,3.85,7.16,0.2,16.45,19.41,0.44,0.0,0.26,180
181,51.17,0.22,4.18,6.6,0.24,17.4,20.01,0.32,0.0,0.0,181
182,52.33,0.15,3.24,6.81,0.3,16.97,20.22,0.33,0.0,0.09,182
183,51.82,0.18,3.71,3.34,0.0,17.29,22.05,0.3,0.0,1.31,183
184,51.45,0.47,3.43,7.67,0.24,16.61,18.99,0.42,0.0,0.25,184
185,51.93,0.56,3.1,7.63,0.22,16.33,20.01,0.41,0.0,0.22,185
186,51.76,0.26,3.5,5.55,0.12,16.44,20.89,0.4,0.0,0.5,186
187,51.5,0.38,4.84,7.42,0.18,17.01,18.31,0.5,0.0,0.2,187
188,50.9,0.39,4.97,7.48,0.19,16.1,19.1,0.55,0.0,0.22,188
189,50.89,0.44,4.89,8.39,0.2,16.36,18.1,0.59,0.0,0.17,189
190,50.13,0.18,5.89,4.8,0.0,16.1,21.37,0.41,0.0,0.8,190
191,50.11,0.36,5.48,7.28,0.16,16.15,19.01,0.52,0.0,0.31,191
192,51.13,0.16,4.1,4.21,0.0,15.94,23.56,0.26,0.0,0.71,192
193,48.63,0.35,7.09,7.01,0.15,14.99,19.24,0.51,0.0,0.16,193
194,47.53,0.32,7.66,7.41,0.15,13.48,23.16,0.35,0.0,0.11,194
195,52.498,0.299766667,3.517866667,5.903066666666667,0.1788666666666666,17.86973333333333,19.34223333333334,0.3220333333333333,0.0,0.0,195
196,52.3,0.77,3.26,8.7,0.21,14.97,20.24,0.53,0.0,0.06,196
197,48.57,0.52,15.75,6.08,0.13,9.44,19.31,1.94,0.0,0.08,197
198,44.51,0.46,25.76,3.48,0.08,5.05,17.53,3.12,0.0,0.01,198
199,49.71,0.65,11.4,11.24,0.21,15.77,11.29,1.07,0.0,0.17,199
200,48.72,0.77,11.66,9.81,0.19,15.19,12.92,1.15,0.0,0.22,200
201,49.04,1.14,9.57,13.02,0.24,17.69,9.47,0.75,0.0,0.15,201
202,49.42,0.72,11.21,10.36,0.22,16.23,11.81,0.98,0.0,0.27,202
203,50.01,0.59,7.84,12.0,0.23,19.71,8.8,0.6,0.0,0.29,203
