,SiO2_Amp,TiO2_Amp,Al2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,Cr2O3_Amp,F_Amp,Cl_Amp,Sample_ID_Amp
59,40.12,5.32,12.87,16.01,0.19,10.4,10.57,2.28,0.7,0.0,0.0,0.0,59
60,40.53,4.49,12.8,16.92,0.16,9.71,10.36,2.27,0.94,0.0,0.0,0.0,60
61,40.07,2.37,13.66,9.63,0.11,14.73,11.42,2.44,0.62,0.0,0.0,0.0,61
62,41.93,2.58,13.2,10.17,0.14,14.41,11.02,2.43,0.73,0.0,0.0,0.0,62
63,41.08,2.15,13.28,9.96,0.12,14.84,12.31,2.22,0.66,0.0,0.0,0.0,63
64,41.46,2.25,13.57,10.36,0.18,14.69,12.12,2.35,0.65,0.0,0.0,0.0,64
65,42.97,2.08,12.3,10.17,0.32,15.09,11.85,2.13,0.7,0.0,0.0,0.0,65
66,42.93,3.18,12.37,10.58,0.26,13.8,11.1,2.21,1.14,0.0,0.0,0.0,66
67,41.41,2.02,14.57,10.81,0.17,13.75,12.35,2.26,0.69,0.0,0.0,0.0,67
68,42.65,1.81,12.96,10.8,0.2,14.13,12.06,2.17,0.74,0.0,0.0,0.0,68
69,42.37,1.15,13.35,8.24,0.17,17.06,12.53,2.53,0.08,0.0,0.0,0.0,69
70,43.39,1.22,12.51,8.9,0.22,16.98,12.17,2.41,0.07,0.0,0.0,0.0,70
71,41.38,2.6,13.41,12.39,0.14,13.38,11.98,2.65,0.08,0.0,0.0,0.0,71
72,40.36,4.47,13.06,14.86,0.17,11.43,10.67,2.71,0.1,0.0,0.0,0.0,72
73,40.63,3.71,13.64,12.89,0.11,12.5,11.05,2.65,0.07,0.0,0.0,0.0,73
74,40.62,4.14,13.64,12.82,0.15,12.0,11.4,2.39,0.76,0.0,0.0,0.0,74
75,41.22,4.52,13.59,13.87,0.16,10.68,11.19,2.37,0.76,0.0,0.0,0.0,75
76,40.04,5.31,13.42,14.62,0.13,11.09,10.6,2.43,0.86,0.0,0.0,0.0,76
77,40.78,5.22,13.38,14.95,0.18,10.4,10.3,2.4,0.88,0.0,0.0,0.0,77
78,40.68,5.34,12.73,15.12,0.15,10.19,11.01,2.23,1.03,0.0,0.0,0.0,78
79,39.24,5.96,13.87,12.74,0.1,12.04,10.95,2.31,0.78,0.0,0.0,0.0,79
80,47.24,1.58,11.74,14.05,0.25,11.11,10.12,1.69,0.82,0.0,0.0,0.0,80
81,50.11,1.71,9.42,15.25,0.23,11.65,9.84,1.42,0.81,0.0,0.0,0.0,81
82,47.81,1.56,11.19,14.25,0.27,12.3,10.04,1.64,0.77,0.0,0.0,0.0,82
83,45.41,1.37,10.97,16.77,0.32,11.6,10.14,1.61,0.57,0.0,0.0,0.0,83
