,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
55,50.1,1.5,2.48,9.69,0.98,12.6,21.0,1.66,0.0,0.0,55
56,49.9,1.3,3.21,8.8,0.88,12.8,21.3,1.73,0.0,0.0,56
57,49.2,1.44,3.86,10.62,1.04,11.3,20.7,1.87,0.0,0.0,57
58,48.4,1.9,3.82,10.11,0.75,12.8,20.7,1.54,0.0,0.0,58
59,50.1,1.5,2.48,9.69,0.98,12.6,21.0,1.66,0.0,0.0,59
60,48.7,3.13,3.12,12.24,1.03,9.53,17.68,3.67,0.08,0.0,60
61,47.4,2.51,3.62,13.83,1.78,8.13,16.4,4.37,0.04,0.0,61
62,47.4,2.95,4.02,15.33,2.42,6.09,14.02,5.52,0.05,0.0,62
63,48.5,2.09,3.46,13.83,1.57,8.51,17.14,3.8,0.09,0.0,63
64,46.1,4.23,3.78,18.91,1.79,3.92,16.72,3.77,0.03,0.0,64
65,47.4,3.61,3.76,14.91,1.27,7.62,16.02,4.25,0.05,0.0,65
66,45.7,3.01,3.94,15.49,1.26,7.95,16.23,4.38,0.09,0.0,66
67,45.9,3.49,4.17,15.8,1.67,7.03,15.57,4.81,0.04,0.0,67
68,47.3,2.92,3.95,13.68,1.23,8.64,17.09,4.15,0.03,0.0,68
69,48.9,1.79,3.16,10.75,1.23,10.81,18.26,3.37,0.12,0.0,69
70,47.1,3.73,3.68,14.56,1.31,7.2,15.42,4.95,0.1,0.0,70
71,52.3,0.86,0.85,11.3,1.14,11.9,20.8,0.92,0.0,0.0,71
72,51.6,1.35,1.82,11.4,0.99,10.5,20.8,1.54,0.1,0.0,72
73,50.2,2.13,2.45,12.3,1.03,9.6,20.5,1.68,0.0,0.0,73
74,50.6,0.96,2.13,14.9,1.3,7.2,19.9,1.7,0.3,0.0,74
75,50.0,1.11,2.79,14.5,1.25,7.1,18.6,2.04,0.44,0.0,75
76,50.3,1.38,2.25,12.9,1.04,10.1,20.4,1.66,0.0,0.0,76
77,50.9,1.02,1.31,12.5,0.94,10.7,21.3,1.27,0.0,0.0,77
78,50.5,1.0,1.65,13.1,1.11,10.7,21.3,0.71,0.0,0.0,78
79,50.9,1.27,1.88,12.0,0.95,11.0,21.2,0.74,0.0,0.0,79
80,49.9,1.1,2.34,11.6,1.46,11.3,21.4,0.86,0.0,0.0,80
