Sample_ID_Gt,SiO2_Gt,TiO2_Gt,Al2O3_Gt,Cr2O3_Gt,FeOt_Gt,MnO_Gt,MgO_Gt,CaO_Gt,Na2O_Gt,Ti_Gt,Ni_Gt,Zn_Gt,Ga_Gt,Sr_Gt,Y_Gt,Zr_Gt
COY553,43.48,0.08,22.31,2.55,6.99,0.46,19.82,4.91,-0.99,800,11.3,,1.37,,1.62,1.2
COY557,41.93,0.14,21.81,2.55,8.05,0.48,20.09,4.59,-0.99,1400,11.3,,1.68,,12.4,30.5
COY553,42.11,0.21,21.04,3.13,7.72,0.55,20.51,4.61,-0.99,2100,11.3,,1.48,,30.4,40.2
COY553,42.37,0.1,20.98,3.77,7,0.48,21.24,4.84,-0.99,1000,11.3,,0.86,,11.6,49
COY553,42.95,0.09,21.56,3.17,7.02,0.39,20.63,4.72,-0.99,900,11.3,,1.53,,4.8,25.8
COY553,42.9,0.05,22.52,2.6,7.07,0.49,19.62,5.07,-0.99,500,11.4,,1.2,,1.52,0.98
COY556,42.73,0.21,22.12,2.4,8.82,0.57,19.32,4.55,-0.99,2100,11.4,,2.7,,27.3,31.2
COY553,42.75,0.08,22.17,2.48,7.15,0.35,20.84,4.57,-0.99,800,11.4,,1.21,,2.77,14.9
173/034/K001/167,42.56,0.19,21.87,3.36,7.75,0.23,20.36,4.69,0,1139.02044242,11.41,13.49,5.57,,15.58,12.66
173/034/K007/203,43.09,0,21.19,3.38,6.88,0.12,21.42,4.53,0,0,11.42,9.09,3.98,,8.19,37.81
173/034/K001/167,42.96,0.12,20.16,4.05,7.36,0.18,19.79,4.79,0,719.381332054,11.44,12.66,4.83,,17.88,18.55
COY553,42.54,0.1,22.01,2.57,7.22,0.49,20.94,4.59,-0.99,1000,11.5,,1.29,,3.1,19.7
COY553,42.7,0.07,22.35,2.41,7.12,0.46,21.35,4.81,-0.99,700,11.5,,1.2,,1.66,3.3
COY553,42.67,0.17,21.71,3.01,7.86,0.55,20.2,4.59,-0.99,1700,11.5,,1.53,,30.5,38.6
COY553,42.34,0.07,21.79,2.49,6.99,0.41,21.47,4.94,-0.99,700,11.5,,1.29,,1.66,2.6
173/034/K001/167,43.35,0.04,22.23,3.07,6.82,0.15,20.65,5.29,0,239.793777351,11.58,11.03,1.63,,3.37,1.08
EAK806,41.87,0.15,20.86,3.33,8.71,0.54,20.1,5.05,0.04,899.226665068,11.59,0,0.64,,3.77,4.45
EAK806,42.1,0,21.3,3.34,8.82,0.45,20.82,4.97,0,0,11.59,0,0.64,,3.77,4.45
COY553,43.15,0.08,22.77,2.42,7.03,0.51,19.72,4.93,-0.99,800,11.6,,1.29,,1.88,5.7
COY553,43.01,0.06,22.57,2.45,7.17,0.41,20.86,4.86,-0.99,600,11.6,,1.32,,1.64,1.91
COY553,42.69,0.09,22.45,2.56,7.12,0.36,20.12,4.74,-0.99,900,11.6,,1.31,,2.8,14.3
COY556,41.81,0.12,21.31,3.82,6.88,0.49,20.79,4.74,-0.99,1200,11.6,,1.06,,40.8,41.5
COY553,42.29,0.07,22.57,2.6,7.2,0.32,21.38,4.75,-0.99,700,11.6,,1.36,,2.05,9.2
COY553,42.74,0.07,22.56,2.54,7.25,0.44,20.71,4.71,-0.99,700,11.6,,1.29,,2.02,8.9
COY553,42.79,0.09,22.43,2.46,7.05,0.4,21.17,4.9,-0.99,900,11.6,,1.37,,1.35,1.14
COY553,42.81,0.08,22.38,2.47,7.08,0.46,20.62,4.85,-0.99,800,11.6,,1.24,,1.36,1.92
COY553,42.63,0.09,22.52,2.6,7.1,0.41,19.73,4.82,-0.99,900,11.7,,1.35,,2.6,12.6
COY553,42.39,0.1,22.18,2.4,7.17,0.31,20.97,4.9,-0.99,1000,11.7,,1.28,,1.31,2.1
COY553,42.31,0.15,21.79,3.12,7.9,0.51,20.24,4.74,-0.99,1500,11.7,,1.6,,31.6,42
COY553,42.32,0.11,21.18,3.53,7.77,0.45,20.18,5.08,-0.99,1100,11.7,,1.48,,5,32.5
173/034/K001/167,43.02,0.11,20.24,3.82,7.62,0.28,19.4,4.63,0,659.432887717,11.77,11.51,3.89,,13.43,25.55
COY553,42.44,0.09,22.05,2.33,6.98,0.38,21.43,4.94,-0.99,900,11.8,,1.28,,1.5,1.61
COY553,42.45,0.08,22.23,2.46,6.99,0.4,21.6,4.72,-0.99,800,11.8,,1.44,,1.87,6
173/034/K001/167,42.89,0.14,20.47,4.46,8.15,0.34,18.75,5.76,0,839.27822073,11.82,10.79,3.1,,9.76,4.39
173/034/K001/167,42.7,0.14,20.47,4.08,7.53,0.32,20.09,4.83,0,839.27822073,11.85,11.2,4.24,,17.17,29.77
173/034/K007/203,42.74,0,22.59,2.29,8.83,0.27,19.5,4.85,0,0,11.86,11.56,4.09,,7.29,7.43
173/034/K001/167,42.81,0.09,21.5,3.03,7.78,0.24,19.43,5.35,0,539.535999041,11.87,11.97,2.95,,6.8,2.58
COY553,43.05,0.08,21.46,4.27,6.59,0.49,20.54,4.23,-0.99,800,11.9,,0.63,,3.6,49.2
