,Reference,spot/exp.,T ,P,H2O_Liq,∆NNO,logfO2,Unnamed: 7,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,F,Cl,T_K,P_kbar,H2O_Liq.1,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
20,Rutherford & Devine (2003),M46a,840,200.0,5.949898719787598,,,,44.72,1.77,9.03,0.04,15.82,0.33,12.72,10.51,1.65,0.13,,,1113.15,2.0,5.949898719787598,0.7442913254776645,0.31560142913854705,0.22019319099184365,0.18741418356247436,0.17712654838614764,0.05324384065570596,0.0027602314347895326,0.004652015168388852,0.022153245387869534,0.0005263497251796498,0.0,0.0,6.517682568906084,2.763689247752606,1.9282091213387587,1.6411667253907296,1.551078962482868,0.4662508352097162,0.02417106271812144,0.040737218257697674,0.1939936908663452,0.004609190395642814,0.0,0.0,1.4845441042756407,6.517682568906084,1.4823174310939162,0.0,0.004609190395642814,1.2482039788673305,2.763689247752606,0.6800051424714282,0.040737218257697674,1.6411667253907296,0.3588332746092704,0.10741756060044583,0.02417106271812144,0.0687615313889518,0.1939936908663452,44.75179602113267,96.72000000000001,1.9413269055912226,1.2482039788673305,0.6800051424714282,11.381139844603638,5.579105105793151,-0.0,99.80157185598802,,,True,0.8025361529171031,0.5890343375634164,0.3588332746092704,2.0,0.13158862331856727,N/A,Mg-Hornblende
21,Costa et al. (2004),97,875,203.0,6.0,,,,44.9,1.74,9.98,,11.46,0.26,14.68,11.34,1.96,0.51,,,1148.15,2.03,6.0,0.747287131349444,0.36423183803096465,0.15950783620521672,0.20221473278767452,0.19576112435146772,0.06324722890011132,0.01082860024417432,0.003665224072063944,0.021777766652481916,0.0,0.0,0.0,6.510207349969243,3.1731106954298243,1.389598514517046,1.7616519600560152,1.7054294890503285,0.550996474015487,0.09433647381589538,0.03193065649363753,0.1897232945399205,0.0,0.0,0.0,1.492230920661639,6.510207349969243,1.4897926500307568,0.0,0.0,0.7260723539879379,3.1731106954298243,0.6635261605291081,0.03193065649363753,1.7616519600560152,0.2383480399439848,0.3126484340715022,0.09433647381589538,0.21563683901957176,0.1897232945399205,45.27392764601206,96.83000000000001,1.9513788962498357,0.7260723539879379,0.6635261605291081,6.654616433369562,5.472091197727243,-0.0,99.44808652734665,,,True,0.8270552607817072,0.6954444277343664,0.2383480399439848,2.0,0.4069849078873976,N/A,Mg-Hornblende
22,Costa et al. (2004),9,900,206.0,5.4,1.2,-10.680766106305718,,45.2,1.88,10.25,,10.2,0.16,15.07,10.85,1.97,0.56,,,1173.15,2.06,5.4,0.7522801411357433,0.3739082969432314,0.1419703254182557,0.19347705914870092,0.2010572669942429,0.06356991884347925,0.011890227719093371,0.0022555225058855043,0.023530000750957472,0.0,0.0,0.0,6.54155964603838,3.2513731160177284,1.2345232858186268,1.6824074614684625,1.7483222437942576,0.552781328483058,0.103393177057685,0.019613218797662788,0.20460848953334515,0.0,0.0,0.0,1.4950015537483163,6.54155964603838,1.4584403539616204,0.0,0.0,0.7383520565846311,3.2513731160177284,0.4961712292339957,0.019613218797662788,1.6824074614684625,0.31759253853153746,0.2351887899515206,0.103393177057685,0.2898818898326372,0.20460848953334515,45.26164794341537,96.13999999999999,1.9550020318247214,0.7383520565846311,0.4961712292339957,6.779727296552988,4.099514846194888,-0.0,98.77424417457259,,,True,0.8676009718570341,0.7247989754481937,0.31759253853153746,2.0,0.3385819670092056,N/A,Mg-Hornblende
23,Costa et al. (2004),26,850,195.0,4.7,,,,47.9,1.14,8.49,,5.85,0.37,18.01,11.72,1.7,0.49,,,1123.15,1.95,4.7,0.7972172292124359,0.4468539102818579,0.08142415722517606,0.20899088785463366,0.1665342631005973,0.05485729037254554,0.0104039492542067,0.005215895794860228,0.01426819194472953,0.0,0.0,0.0,6.856586440019307,3.8432341269580745,0.7003006857637459,1.797457499968095,1.4323029261449776,0.4718083597819088,0.08948072716581208,0.044860094675729184,0.12271572643816507,0.0,0.0,0.0,1.511513647559657,6.856586440019307,1.1434135599806927,0.0,0.0,0.4528886540561672,3.8432341269580745,0.24741203170757875,0.044860094675729184,1.797457499968095,0.202542500031905,0.26926585975000383,0.08948072716581208,0.28888936616428484,0.12271572643816507,45.54711134594383,95.67,1.9765947698857051,0.4528886540561672,0.24741203170757875,4.2044636880026625,2.066769910286248,-0.0,98.06782836817463,,Recalc Total<98.5,False,0.9395176160168585,0.8458687531560414,0.202542500031905,2.0,0.3587465869158159,N/A,Mg-Hornblende
24,Nekvasil (2004),NVA (2.3),1000,930.0,5.8406505404565365,,,,41.86,4.16,13.95,,12.56,0.15,11.71,10.38,2.46,0.89,,,1273.15,9.3,5.8406505404565365,0.6966912988482791,0.29054188169908696,0.17481836149542077,0.18509602525009364,0.27363403654338425,0.07938172606850707,0.018896969053559108,0.00211455234926766,0.05206638464041653,0.0,0.0,0.0,6.079059291782907,2.535156285882596,1.5253975276852647,1.6150764535581006,2.3876249569170755,0.6926542935906732,0.16488765612758063,0.018450767403047918,0.45431117032910656,0.0,0.0,0.0,1.4898665155758555,6.079059291782907,1.9209407082170928,0.0,0.0,0.45793926202444624,2.535156285882596,1.0674582656608185,0.018450767403047918,1.6150764535581006,0.3849235464418994,0.3077307471487738,0.16488765612758063,0.4666842486999827,0.45431117032910656,45.542060737975554,98.12,1.948286981906888,0.45793926202444624,1.0674582656608185,4.190466103772586,8.78936511523323,-0.0,100.4881182009127,,,True,0.70369900793203,0.62433756632203,0.3849235464418994,2.0,0.4726184032763544,N/A,Tschermakitic pargasite
25,Sato et al. (2005),307,850,200.0,5.347843006239572,,,,45.34,2.3,9.34,,15.09,0.15,13.04,10.6,1.77,0.5,,0.056,1123.15,2.0,5.347843006239572,0.7546102123693496,0.32354108773322743,0.21003256966289005,0.18901906239412256,0.18320730475377842,0.05711611997612095,0.01061627474919051,0.00211455234926766,0.02878670304638414,0.0,0.0,0.0,6.52997549974825,2.799743949165891,1.817504602464279,1.6356654418226637,1.5853737357473332,0.4942510159168108,0.09186731490572364,0.01829815553423031,0.24910405734001684,0.0,0.0,0.0,1.5022924299148972,6.52997549974825,1.4700245002517498,0.0,0.0,0.999017935608272,2.799743949165891,0.8184866668560069,0.01829815553423031,1.6356654418226637,0.3643345581773363,0.12991645773947452,0.09186731490572364,0.1153492354955834,0.24910405734001684,45.00098206439173,98.13000000000001,1.9645362545040963,0.999017935608272,0.8184866668560069,9.217960793993088,6.7955612250505375,-0.0,101.01805827354772,,,True,0.7737881429581455,0.6063663062230884,0.3643345581773363,2.0,0.22178377264519816,N/A,Mg-Hornblende
26,Sato et al. (2005),309,850,200.0,4.973631735001931,,,,45.53,2.22,9.12,,14.93,0.14,13.97,10.25,1.7,0.45,,0.043,1123.15,2.0,4.973631735001931,0.7577724519006723,0.34661572052401746,0.2078055841661331,0.18277786693771286,0.1788919292670727,0.05485729037254554,0.00955464727427146,0.0019735821926498164,0.027785426418683826,0.0,0.0,0.0,6.477349009095716,2.962830053061276,1.7762974773058842,1.5623635199776424,1.5291469858357702,0.46891360928341047,0.08167199124094526,0.01686994641711374,0.2375065282842383,0.0,0.0,0.0,1.5208446944692293,6.477349009095716,1.5226509909042836,0.0,0.0,1.3658292989246874,2.962830053061276,0.41046817838119676,0.01686994641711374,1.5623635199776424,0.43763648002235755,0.031277129261052916,0.08167199124094526,0.0064959949314866705,0.2375065282842383,44.63417070107531,98.31,1.988796908152069,1.3658292989246874,0.41046817838119676,12.758169986546408,3.4500358084874745,-0.0,101.57700270318594,,,True,0.8783184437844161,0.6251847062726614,0.43763648002235755,2.0,0.11294912050199818,N/A,Tschermakitic pargasite
27,Sato et al. (2005),333,850,200.0,6.825356859819692,,,,44.73,1.49,10.4,,16.91,0.16,11.92,10.08,1.7,0.55,,0.037,1123.15,2.0,6.825356859819692,0.7444577591372078,0.29575228265184594,0.23536452968850038,0.1797464291445996,0.20399956846245135,0.05485729037254554,0.011677902224109561,0.0022555225058855043,0.018648777190918422,0.0,0.0,0.0,6.44990998412896,2.562369157003433,2.0391755090403794,1.5573056680810378,1.7674325201592251,0.4752782552581753,0.10117621480130734,0.01954162872450796,0.16157120094349414,0.0,0.0,0.0,1.5004784396368094,6.44990998412896,1.5500900158710396,0.0,0.0,1.31853930347431,2.562369157003433,0.7206362055660693,0.01954162872450796,1.5573056680810378,0.44269433191896224,0.03258392333921306,0.10117621480130734,0.21734250428818558,0.16157120094349414,44.68146069652569,97.94,1.9621641133712122,1.31853930347431,0.7206362055660693,12.15150113735142,5.975924182149898,-0.0,101.11958943287253,,,True,0.7804949654416493,0.5568497847933387,0.44269433191896224,2.0,0.1337601381405204,N/A,Tschermakitic pargasite
28,Sato et al. (2005),B52,850,200.0,5.343649032290557,,,,46.56,1.84,8.34,,13.25,0.35,14.63,10.81,1.28,0.34,,0.084,1123.15,2.0,5.343649032290557,0.774915118833633,0.36299126637554585,0.1844222364501851,0.1927637796679684,0.16359196163238884,0.041304312751093114,0.007219066829449547,0.00493395548162454,0.023029362437107313,0.0,0.0,0.0,6.654338907218878,3.1170728872332463,1.58366772507152,1.6552980936516175,1.4047943171339445,0.3546877441096153,0.061991457011864905,0.04236878482546268,0.19775737851694755,0.0,0.0,0.0,1.5138839012104848,6.654338907218878,1.3456610927811221,0.0,0.0,1.1637377229696924,3.1170728872332463,0.41993000210182774,0.04236878482546268,1.6552980936516175,0.3447019063483825,0.009985837761232796,0.061991457011864905,0.05913322435282242,0.19775737851694755,44.83626227703031,97.4,1.9796943323521723,1.1637377229696924,0.41993000210182774,10.82068552423767,3.5134090565607368,-0.0,100.46378891315058,,,True,0.8812751882764871,0.6631025075227348,0.3447019063483825,2.0,0.0719772947730977,N/A,Mg-Hornblende
29,Sato et al. (2005),290,850,300.0,5.55922119997399,,,,45.96,2.31,10.43,,13.82,0.23,13.17,10.33,1.75,0.55,,0.053,1123.15,3.0,5.55922119997399,0.7649290992610345,0.3267665740373164,0.19235587228238177,0.18420442589917793,0.20458802875609303,0.056470740089385116,0.011677902224109561,0.0032423136022104123,0.02891186262484668,0.0,0.0,0.0,6.538742210576789,2.79325546998733,1.6442902522079512,1.574610321617522,1.7488527769416866,0.4827213557984495,0.09982466646587342,0.02771584037158679,0.247143449914656,0.0,0.0,0.0,1.5207937505638829,6.538742210576789,1.461257789423211,0.0,0.0,0.9476092365760564,2.79325546998733,0.6966810156318948,0.02771584037158679,1.574610321617522,0.425389678382478,0.057331677415971505,0.09982466646587342,0.28759498751847556,0.247143449914656,45.052390763423944,98.55000000000001,1.9887302891989238,0.9476092365760564,0.6966810156318948,8.851292587250134,5.855493957410586,-0.0,101.42551683385966,,,True,0.800374299502966,0.6294595357105389,0.425389678382478,2.0,0.1571563438818449,N/A,Mg-Hornblende
30,Sato et al. (2005),283,850,300.0,6.834504894665045,,,,45.48,1.74,10.56,,12.58,0.22,13.54,11.06,1.72,0.53,,0.034,1123.15,3.0,6.834504894665045,0.7569402836029557,0.3359468042874156,0.17509673468251538,0.19722177642254676,0.20713802336187367,0.05550267025928137,0.01125325123414194,0.0031013434455925684,0.021777766652481916,0.0,0.0,0.0,6.560144943416305,2.9115371148075475,1.51750406672599,1.709254306259912,1.7951950582926248,0.4810228356646884,0.09752811520250984,0.026878292730781995,0.18874052402675112,0.0,0.0,0.0,1.500000956032835,6.560144943416305,1.4398550565836947,0.0,0.0,0.7099744434342412,2.9115371148075475,0.8075296232917488,0.026878292730781995,1.709254306259912,0.2907456937400881,0.19027714192460032,0.09752811520250984,0.3553400017089301,0.18874052402675112,45.29002555656576,97.43,1.9615397117352456,0.7099744434342412,0.8075296232917488,6.540957756206553,6.694362726109598,-0.0,100.0468601940514,,,True,0.7828676708005372,0.6573741348233388,0.2907456937400881,2.0,0.28780525712711014,N/A,Mg-Hornblende
31,Caricchi et al. (2006),LC6  ,950,1000.0,,,,,41.4,2.63,13.71,,14.21,0.22,11.52,9.98,2.47,0.79,,,1223.15,10.0,,0.689035350509287,0.2858277094084954,0.19778414943072684,0.17796323044276824,0.26892635419425076,0.079704416011875,0.016773714103721006,0.0031013434455925684,0.03291696913564795,0.0,0.0,0.0,6.062201411202815,2.5147405601995954,1.7401245798292901,1.5657381670402706,2.366040759303599,0.7012473639692778,0.14757680173525362,0.027285927490657044,0.2896067619740432,0.0,0.0,0.0,1.4775918761240006,6.062201411202815,1.9377985887971851,0.0,0.0,0.9500423945576131,2.5147405601995954,0.7900821852716771,0.027285927490657044,1.5657381670402706,0.4342618329597294,0.26698553100954836,0.14757680173525362,0.4282421705064139,0.2896067619740432,45.04995760544239,96.93,1.9322355303160008,0.9500423945576131,0.7900821852716771,8.621931592919477,6.451875907535271,-0.0,99.72604303077075,,,True,0.760930541175209,0.5910270895642356,0.4342618329597294,2.0,0.414562332744802,N/A,Tschermakitic pargasite
32,Caricchi et al. (2006),LC10 ,1050,700.0,,,,,40.11,5.47,14.56,,10.49,0.15,13.25,11.12,2.69,0.76,,,1323.15,7.0,,0.6675654084282004,0.32875148868598647,0.14600673663112768,0.19829169564364554,0.2855993958474319,0.08680359476596912,0.016136737618769575,0.00211455234926766,0.06846228941900924,0.0,0.0,0.0,5.791358728435814,2.8520318450452335,1.266658484582123,1.7202484248637901,2.477672649143736,0.7530509368230234,0.1399917297646963,0.018344466399928573,0.5939338263931664,0.0,0.0,0.0,1.4984998713610231,5.791358728435814,2.2086412715641863,0.0,0.0,0.4182027248830096,2.8520318450452335,0.8484557596991134,0.018344466399928573,1.7202484248637901,0.27975157513620985,0.4732993616868135,0.1399917297646963,0.26903137757954987,0.5939338263931664,45.58179727511699,98.60000000000001,1.9595767548567227,0.4182027248830096,0.8484557596991134,3.8490243692694652,7.026598745896337,-0.0,100.94519987002255,,,True,0.7707178484772333,0.6924608593487713,0.27975157513620985,2.0,0.6132910914515098,N/A,kaersutite
33,Adam et al. (2007),1923,1050,2000.0,,,,,42.57,2.12,14.24,0.05,8.37,0.1,15.43,10.29,2.61,1.29,0.19,0.05,1323.15,20.0,,0.7085080886758538,0.3828404128622469,0.11649917879909806,0.18349114641844538,0.2793224860485872,0.08422207521902579,0.027389988852911516,0.0014097015661784403,0.02653383063405843,0.0006579371564745623,0.0,0.0,6.07651240833142,3.2834269027413705,0.9991540207482543,1.5737099489075175,2.3956064574680487,0.7223297705468721,0.23490996050564678,0.012090291128414414,0.22756712825925887,0.005642791323232243,0.0,0.0,1.5157716357424975,6.07651240833142,1.9234875916685796,0.0,0.005642791323232243,0.8859320491598126,3.2834269027413705,0.11322197158844172,0.012090291128414414,1.5737099489075175,0.4262900510924825,0.29603971945438956,0.23490996050564678,0.47211886579946905,0.22756712825925887,45.11406795084019,97.06999999999998,1.9821629082786505,0.8859320491598126,0.11322197158844172,8.247860014324315,0.9484702883801238,-0.0,99.87849321098307,,,True,0.9666665658484405,0.7666934872688635,0.4262900510924825,2.0,0.5309496799600364,N/A,Mg-hastingsite
34,Mc Canta et al. (2007),70,870,300.0,7.077395915985107,,,,47.31,1.7,10.39,0.03,8.35,0.13,17.02,11.03,1.86,0.19,,,1143.15,3.0,7.077395915985107,0.7873976432993809,0.42229059150456527,0.11622080561200344,0.19668681681199734,0.20380341503123744,0.06002032946643218,0.004034184404692394,0.001832612036031972,0.021277128338631757,0.00039476229388473735,0.0,0.0,6.590302345983799,3.5344564459424905,0.9727362716854038,1.6462147191966467,1.7057786947035556,0.502353698230404,0.0337650171709581,0.015338460183513158,0.17808372935727518,0.0033040521439627424,0.0,0.0,1.5532169581157356,6.590302345983799,1.4096976540162007,0.0,0.0033040521439627424,0.9255969486756825,3.5344564459424905,0.047139323009721235,0.015338460183513158,1.6462147191966467,0.35378528080335325,0.14856841742705074,0.0337650171709581,0.29608104068735486,0.17808372935727518,45.07440305132432,98.00999999999999,2.0311298683051926,0.9255969486756825,0.047139323009721235,8.830008676581057,0.40464549188566934,-0.0,100.92578403677192,,,True,0.9868384580363987,0.7841813446580672,0.35378528080335325,2.0,0.18233343459800883,N/A,Mg-Hornblende
35,Irving & Green (2008),not given,1110,1400.0,,,,,43.4,3.2,12.7,0.17,9.2,,15.4,10.1,2.9,1.6,,,1383.15,14.0,,0.7223220824179482,0.38209606986899564,0.12805166606352475,0.18010306888496586,0.24911485764164729,0.09358008357669532,0.03397207919740963,0.0,0.04005106510801272,0.0022369863320135116,0.0,0.0,6.162054679760958,3.259621895502513,1.0923954664054774,1.5364405788992086,2.125172982653582,0.798321975711854,0.2898122799996047,0.0,0.34167147756593114,0.01908349811153807,0.0,0.0,1.523872727432142,6.162054679760958,1.837945320239042,0.0,0.01908349811153807,0.6872757910712224,3.259621895502513,0.40511967533425497,0.0,1.5364405788992086,0.4635594211007914,0.33476255461106263,0.2898122799996047,0.28722766241454023,0.34167147756593114,45.31272420892878,98.67,1.9927566435651087,0.6872757910712224,0.40511967533425497,6.432604282317938,3.4118605648732276,-0.0,101.30722149075628,,,True,0.8894547766865443,0.7489910136924282,0.4635594211007914,2.0,0.6245748346106673,N/A,Mg-hastingsite
36,Irving & Green (2008),not given,1090,1400.0,,,,,43.5,3.3,12.1,0.11,8.6,,15.2,9.9,2.9,1.5,,,1363.15,14.0,,0.7239864190133812,0.37713378324732033,0.11970047045068617,0.17653667148130317,0.23734565176881356,0.09358008357669532,0.03184882424757153,0.0,0.041302660892638114,0.001447461744244037,0.0,0.0,6.270717777296607,3.2664970735927397,1.0367706469256457,1.5290502903509824,2.0557396642038954,0.8105321844088896,0.27585460603999357,0.0,0.35773782920136815,0.012537008779746289,0.0,0.0,1.5009164471170833,6.270717777296607,1.729282222703393,0.0,0.012537008779746289,0.5303247428695528,3.2664970735927397,0.5064459040560929,0.0,1.5290502903509824,0.4709497096490176,0.339582474759872,0.27585460603999357,0.3264574415005024,0.35773782920136815,45.46967525713045,97.11000000000001,1.9627368923838782,0.5303247428695528,0.5064459040560929,4.888836343267007,4.200962660157911,-0.0,99.56253589580881,,,True,0.8657690012660376,0.7590736356043511,0.4709497096490176,2.0,0.6154370807998656,N/A,Mg-hastingsite
37,Rutherford & Devine (2008),not given,860,225.0,,,,,44.44,1.89,10.31,,14.95,0.26,13.15,10.56,1.89,0.26,,,1133.15,2.25,,0.7396311830104519,0.3262703453751489,0.2080839573532277,0.18830578291339004,0.20223418758152628,0.06098839929653592,0.005520462869579065,0.003665224072063944,0.02365516032942001,0.0,0.0,0.0,6.395044368624815,2.821018614099095,1.7991482379862294,1.628140976558508,1.7485696008281713,0.5273216279028112,0.04773136368130264,0.031690484528245494,0.20452869393344225,0.0,0.0,0.0,1.503540057721839,6.395044368624815,1.6049556313751854,0.0,0.0,1.220949329354191,2.821018614099095,0.5781989086320383,0.031690484528245494,1.628140976558508,0.371859023441492,0.1554626044613192,0.04773136368130264,0.14361396945298588,0.20452869393344225,44.77905067064581,97.71000000000002,1.966167767790097,1.220949329354191,0.5781989086320383,11.275082709140637,4.804536669932326,-0.0,100.80578714686308,,,True,0.8299023511247734,0.6105880381410513,0.371859023441492,2.0,0.20319396814262186,N/A,Tschermakitic pargasite
38,Rutherford & Devine (2008),not given,850,140.0,,,,,46.04,1.49,8.58,,11.6,0.29,15.48,11.36,1.94,0.24,,,1123.15,1.4,,0.7662605685373809,0.38408098451766576,0.16145644851487903,0.20257137252804078,0.16829964398152236,0.0626018490133755,0.005095811879611445,0.0040881345419174755,0.018648777190918422,0.0,0.0,0.0,6.628399209149676,3.322423466061636,1.3966499642424592,1.752307218449447,1.4558457956366497,0.5415260337402091,0.044080404003125025,0.035363672459704995,0.16131789244987357,0.0,0.0,0.0,1.502834557284284,6.628399209149676,1.3716007908503238,0.0,0.0,0.874499126522025,3.322423466061636,0.5221508377204342,0.035363672459704995,1.752307218449447,0.24769278155055297,0.29383325218965617,0.044080404003125025,0.0842450047863259,0.16131789244987357,45.125500873477975,97.02,1.9652451902948331,0.874499126522025,0.5221508377204342,8.071934804788105,4.336770037324504,-0.0,99.79395003240744,,,True,0.8641850055526896,0.7040414850776205,0.24769278155055297,2.0,0.3379136561927812,N/A,Mg-Hornblende
39,Rutherford & Devine (2008),not given,850,234.0,,,,,45.59,1.68,9.48,,14.21,0.28,13.71,11.32,1.79,0.26,,,1123.15,2.34,,0.7587710538579322,0.3401647479158396,0.19778414943072684,0.20185809304730826,0.18595345279077297,0.05776149986285677,0.005520462869579065,0.003947164385299633,0.021026809181706678,0.0,0.0,0.0,6.5426596742418,2.9331405928991807,1.7054345604055134,1.740562978233024,1.6034219421976148,0.4980604280500065,0.047601327984642304,0.03403523779669466,0.18130799245919513,0.0,0.0,0.0,1.507647377562278,6.5426596742418,1.4573403257582003,0.0,0.0,0.9218550118997086,2.9331405928991807,0.7835795485058048,0.03403523779669466,1.740562978233024,0.2594370217669759,0.23862340628303058,0.047601327984642304,0.14608161643941453,0.18130799245919513,45.07814498810029,98.32000000000002,1.9715388783506713,0.9218550118997086,0.7835795485058048,8.536296477359327,6.528931477511465,-0.0,101.14676683322148,,,True,0.7891744552470937,0.6323365464520935,0.2594370217669759,2.0,0.28622473426767286,N/A,Mg-Hornblende
40,Mercer & Johnston (2008),CNM-78,1025,1500.0,,,,,41.77,1.49,14.5,,11.0,0.13,14.52,11.45,2.74,0.5,,,1298.15,15.0,,0.6951933959123894,0.3602620087336244,0.15310525290204047,0.204176251359689,0.28442247526014847,0.0884170444828087,0.01061627474919051,0.001832612036031972,0.018648777190918422,0.0,0.0,0.0,5.971407994888663,3.094493491819253,1.3151073307288905,1.7537849279127706,2.4430649840472767,0.759463840441326,0.09118916877806472,0.015741337918103032,0.16018486059781487,0.0,0.0,0.0,1.513464522035153,5.971407994888663,2.028592005111337,0.0,0.0,0.9355264399348258,3.094493491819253,0.37958089079406476,0.015741337918103032,1.7537849279127706,0.24621507208722937,0.5132487683540966,0.09118916877806472,0.4144729789359398,0.16018486059781487,45.064473560065174,98.1,1.9791459134305849,0.9355264399348258,0.37958089079406476,8.69631782327642,3.1749422280389297,-0.0,100.95040596474593,,,True,0.8907389857011262,0.7017627255500783,0.24621507208722937,2.0,0.6044379371321613,N/A,Mg-hastingsite
41,Mercer & Johnston (2008),CNM-77,1050,1500.0,,,,,42.4,1.39,14.05,,9.4,0.13,15.92,11.45,2.84,0.48,,,1323.15,15.0,,0.7056787164636176,0.3949980150853513,0.13083539793447094,0.204176251359689,0.2755955708555232,0.09164394391648784,0.01019162375922289,0.001832612036031972,0.017397181406293025,0.0,0.0,0.0,6.010350496796199,3.3642455990440134,1.1143408191686877,1.7389936881523633,2.347280621565587,0.7805424919248272,0.0868032852561784,0.015608577110554437,0.14817388631495987,0.0,0.0,0.0,1.526337493781288,6.010350496796199,1.9896495032038013,0.0,0.0,0.9903374587263585,3.3642455990440134,0.12400336044232918,0.015608577110554437,1.7389936881523633,0.2610063118476367,0.5195361800771905,0.0868032852561784,0.35763111836178574,0.14817388631495987,45.00966254127364,98.06000000000002,1.9959797995601458,0.9903374587263585,0.12400336044232918,9.284122696109282,1.0460279010756062,-0.0,100.98613039674504,,,True,0.9644511151920221,0.7511847009053819,0.2610063118476367,2.0,0.6063394653333689,N/A,Mg-hastingsite
42,Mercer & Johnston (2008),CNM-76,1050,2000.0,,,,,41.66,1.28,14.91,,10.54,,14.7,11.23,2.81,0.53,,,1323.15,20.0,,0.6933626256574129,0.3647280666931322,0.14670266959886422,0.20025321421566006,0.2924647659399182,0.0906758740863841,0.01125325123414194,0.0,0.016020426043205086,0.0,0.0,0.0,5.956414376006699,3.133239980629573,1.2602667895009774,1.7202991333211246,2.5124534721903187,0.7789619168656688,0.0966723975990262,0.0,0.13762538167242888,0.0,0.0,0.0,1.5132785539325329,5.956414376006699,2.043585623993301,0.0,0.0,0.9832344313444921,3.133239980629573,0.2770323581564853,0.0,1.7202991333211246,0.2797008666788754,0.49926105018679345,0.0966723975990262,0.4688678481970179,0.13762538167242888,45.01676556865551,97.66,1.9789027243733122,0.9832344313444921,0.2770323581564853,9.138671119574177,2.3169070860984475,-0.0,100.55448093004595,,,True,0.9187653270368725,0.7131524189130749,0.2797008666788754,2.0,0.5959334477858197,N/A,Mg-hastingsite
43,Mercer & Johnston (2008),CNM-75,1000,1000.0,9.82,,,,42.49,1.49,13.64,,10.19,0.07,16.11,11.76,2.73,0.41,,,1273.15,10.0,9.82,0.7071766193995074,0.3997121873759428,0.14183113882470838,0.20970416733536618,0.26755328017575347,0.08809435453944078,0.008705345294336218,0.0009867910963249082,0.018648777190918422,0.0,0.0,0.0,5.985574200583407,3.3831816420172087,1.2004650353251336,1.7749453521571954,2.264582803177683,0.7456345151739782,0.07368242780027823,0.00835224350678229,0.15784407538978568,0.0,0.0,0.0,1.5359087940631553,5.985574200583407,2.0144257994165926,0.0,0.0,1.079372997587285,3.3831816420172087,0.1210920377378486,0.00835224350678229,1.7749453521571954,0.2250546478428046,0.5205798673311736,0.07368242780027823,0.2501570037610903,0.15784407538978568,44.920627002412715,98.89,2.0084961153133567,1.079372997587285,0.1210920377378486,10.182257336190268,1.027874888679686,-0.0,101.91862834018332,,,True,0.9654444690101053,0.738098261094335,0.2250546478428046,2.0,0.5942622951314518,N/A,Mg-hastingsite
44,Mercer & Johnston (2008),CNM-51,1075,1000.0,5.91,,,,39.86,2.49,15.1,,11.91,0.11,13.72,10.37,2.84,0.34,,,1348.15,10.0,5.91,0.6634045669396178,0.34041286224692335,0.16577123291484563,0.18491770537991048,0.2961916811329822,0.09164394391648784,0.007219066829449547,0.0015506717227962842,0.0311647350371724,0.0,0.0,0.0,5.755277831283552,2.953206379949176,1.438126219511224,1.6042288875012958,2.5695714217029435,0.7950448113842457,0.06262805135296429,0.013452645692473848,0.27036550186063063,0.0,0.0,0.0,1.4984957499943377,5.755277831283552,2.2447221687164483,0.0,0.0,1.313011274268888,2.953206379949176,0.12511494524233613,0.013452645692473848,1.6042288875012958,0.3957711124987042,0.39927369888554143,0.06262805135296429,0.32484925298649525,0.27036550186063063,44.68698872573111,96.74000000000001,1.9595713653772107,1.313011274268888,0.12511494524233613,12.084566148048804,1.0361531398423915,-0.0,99.91029065326843,,,True,0.9593561126259124,0.6725080173412648,0.3957711124987042,2.0,0.4619017502385057,N/A,Tschermakitic pargasite
