,Reference,spot/exp.,T ,P,H2O_Liq,∆NNO,logfO2,Unnamed: 7,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,F,Cl,T_K,P_kbar,H2O_Liq.1,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
10,Dalpè & Baker (2000),23,1000,1500.0,,,,,42.25,2.17,13.72,,8.8,0.11,15.95,10.75,2.74,1.06,,,1273.15,15.0,,0.703182211570468,0.3957423580786026,0.12248420232163239,0.1916938604468696,0.26912250762546464,0.0884170444828087,0.02250650246828388,0.0015506717227962842,0.027159628526371122,0.0,0.0,0.0,6.017060664800073,3.3863282332922857,1.0480852099527997,1.640305412166907,2.302854691146099,0.7565759083512767,0.19258591653177157,0.01326894462591258,0.2324022561828311,0.0,0.0,0.0,1.519241579845335,6.017060664800073,1.9829393351999274,0.0,0.0,0.9684468176712286,3.3863282332922857,0.0796383922815711,0.01326894462591258,1.640305412166907,0.35969458783309305,0.3968813205181837,0.19258591653177157,0.3199153559461716,0.2324022561828311,45.03155318232877,97.55,1.9867005274900533,0.9684468176712286,0.0796383922815711,9.036696714613921,0.6686649572217387,-0.0,100.44206219932572,,,True,0.9770227469318504,0.7636473857553041,0.35969458783309305,2.0,0.5894672370499553,N/A,Mg-hastingsite
11,Dalpè & Baker (2000),2,1040,1500.0,,,,,43.42,2.59,11.89,,8.06,0.12,16.73,10.67,3.05,1.15,,,1313.15,15.0,,0.7226549497370348,0.41509527590313616,0.11218439439913147,0.19026730148540452,0.23322642971332178,0.09842043272721406,0.02441743192313817,0.0016916418794141281,0.03241633082179779,0.0,0.0,0.0,6.191726191962959,3.55654699785117,0.9611987759626733,1.6302151317305469,1.9982900470542178,0.8432687984260954,0.20920918459630264,0.01449403112232377,0.2777439560466562,0.0,0.0,0.0,1.517269022453836,6.191726191962959,1.8082738080370406,0.0,0.0,0.7498614104430459,3.55654699785117,0.21133736551962745,0.01449403112232377,1.6302151317305469,0.3697848682694531,0.47348393015664225,0.20920918459630264,0.19001623901717712,0.2777439560466562,45.250138589556954,97.68000000000002,1.9841210293627087,0.7498614104430459,0.21133736551962745,6.98796446737083,1.7721403820788315,-0.0,100.36422587881239,,,True,0.9439108674421839,0.7872392949744851,0.3697848682694531,2.0,0.6826931147529449,N/A,Mg-hastingsite
12,Kaszuba & Wendlandt (2000),120,1050,1000.0,,,,,39.98,6.37,13.11,,11.06,0.16,12.57,11.23,2.81,1.2,,,1323.15,10.0,,0.6654017708541374,0.3118797141722906,0.15394037246332434,0.20025321421566006,0.257157148321417,0.0906758740863841,0.02547905939805722,0.0022555225058855043,0.07972665148063782,0.0,0.0,0.0,5.883059985502319,2.7574424161535798,1.3610430345410542,1.7705117766790934,2.2736202329813895,0.8016985073593841,0.2252696662056309,0.019941897935952,0.7048924328857054,0.0,0.0,0.0,1.4703611797976928,5.883059985502319,2.116940014497681,0.0,0.0,0.0,2.7574424161535798,1.3610430345410542,0.019941897935952,1.7705117766790934,0.22948822332090657,0.5722102840384775,0.2252696662056309,0.1566802184837086,0.7048924328857054,46.01751679668064,98.49000000000001,1.922780004350829,0.0,1.3610430345410542,0.0,11.060000000000002,-0.0,100.41278000435084,,,True,0.6695282644955083,0.6695282644955083,0.22948822332090657,2.0,0.7974799502441084,N/A,kaersutite
13,Kaszuba & Wendlandt (2000),111,1050,1000.0,,,,,41.89,2.91,12.25,,12.21,0.16,13.89,10.42,2.99,0.85,,,1323.15,10.0,,0.697190599826909,0.34463080587534733,0.16994683072126493,0.18580930473082616,0.240287953237022,0.09648429306700658,0.018047667073623867,0.0022555225058855043,0.03642143733259907,0.0,0.0,0.0,6.0798794209383935,3.005367176469592,1.4820283563955754,1.6203577161428886,2.09544102050125,0.8413952626548897,0.1573854261146309,0.019669377169458775,0.31761464852572974,0.0,0.0,0.0,1.490733149499028,6.0798794209383935,1.9201205790616065,0.0,0.0,0.870074719515209,3.005367176469592,0.6119536368803664,0.019669377169458775,1.6203577161428886,0.3796422838571114,0.4617529787977783,0.1573854261146309,0.17532044143964365,0.31761464852572974,45.12992528048479,97.56999999999998,1.9494202724218057,0.870074719515209,0.6119536368803664,7.966426465248596,5.041707787887224,-0.0,100.31755452555761,,,True,0.8308268277942306,0.6697352962221915,0.3796422838571114,2.0,0.6191384049124092,N/A,Mg-hastingsite
14,Phichavant et al. (2002),HAB12,945,400.2,6.9,1.2,-9.841862603096931,,43.8,1.87,11.9,,12.2,0.14,14.1,11.2,2.17,0.33,,,1218.15,4.002,6.9,0.7289794287996804,0.3498412068281064,0.1698076441277176,0.19971825460511064,0.23342258314453568,0.07002371771083754,0.007006741334465737,0.0019735821926498164,0.023404841172494934,0.0,0.0,0.0,6.286684662917389,3.0170142839889844,1.4644132190967585,1.7223609316355648,2.0130254921590662,0.603881282216742,0.060425811132894865,0.017020080967124148,0.20184226087067583,0.0,0.0,0.0,1.507429286265185,6.286684662917389,1.7133153370826113,0.0,0.0,0.9008917036440423,3.0170142839889844,0.5635215154527162,0.017020080967124148,1.7223609316355648,0.2776390683644352,0.3262422138523068,0.060425811132894865,0.29971015507645493,0.20184226087067583,45.09910829635596,97.71,1.9712536820390882,0.9008917036440423,0.5635215154527162,8.340971331385774,4.694687536871303,-0.0,100.51691255029615,,,True,0.8426153103843889,0.6732261722211464,0.2776390683644352,2.0,0.38666802498520164,N/A,Tschermakitic pargasite
15,Phichavant et al. (2002),HAB2,949,398.8,6.8,,,,42.0,2.65,12.2,,15.0,0.31,12.2,10.7,2.31,0.37,,,1222.15,3.988,6.8,0.6990213700818854,0.3026994839221913,0.20877989032096428,0.1908022610959539,0.2393071860809525,0.07454137691798836,0.007856043314400978,0.004370074855153164,0.03316728829257303,0.0,0.0,0.0,6.1097297651389635,2.6457160338245025,1.8248207635011466,1.6676890060416987,2.0916416870619696,0.6515218114675463,0.06866499899508645,0.03819622340771488,0.28989552706570376,0.0,0.0,0.0,1.4873452935537195,6.1097297651389635,1.8902702348610365,0.0,0.0,1.0535429059826598,2.6457160338245025,0.7712778575184869,0.03819622340771488,1.6676890060416987,0.3323109939583013,0.31921081750924496,0.06866499899508645,0.2013714522009331,0.28989552706570376,44.94645709401734,97.74000000000001,1.9449899992625563,1.0535429059826598,0.7712778575184869,9.624343683833033,6.3398927139454555,-0.0,100.64922639704106,,,True,0.7742817569933232,0.5918117116063589,0.3323109939583013,2.0,0.3878758165043314,N/A,Tschermakitic pargasite
16,Phichavant et al. (2002),HAB1,949,398.8,8.2,0.8,-10.177341391915022,,41.9,1.75,12.9,,12.2,0.22,13.4,11.5,2.15,0.33,,,1222.15,3.988,8.2,0.6973570334864523,0.3324732036522429,0.1698076441277176,0.20506785071060468,0.2530379262659252,0.06937833782410172,0.007006741334465737,0.0031013434455925684,0.021902926230944454,0.0,0.0,0.0,6.13505018789153,2.9249576509436874,1.4938953347939679,1.804099615576687,2.226119910657797,0.6103610691002319,0.06164232620643165,0.027284298823908672,0.19269261688910838,0.0,0.0,0.0,1.4776800772088752,6.13505018789153,1.8649498121084704,0.0,0.0,0.8381918533209003,2.9249576509436874,0.6557034814730676,0.027284298823908672,1.804099615576687,0.19590038442331292,0.414460684676919,0.06164232620643165,0.36117009854932647,0.19269261688910838,45.1618081466791,96.35000000000001,1.9323508701962213,0.8381918533209003,0.6557034814730676,7.607307052676554,5.354848018904012,-0.0,99.04450594177679,,,True,0.8168764210785557,0.6619268983114661,0.19590038442331292,2.0,0.4761030108833506,N/A,Tschermakitic pargasite
17,Rutherford & Devine (2003),M45b2,870,200.0,,,,,45.53,1.77,9.41,0.0,14.87,0.44,12.87,11.8,1.56,0.17,,,1143.15,2.0,,0.7577724519006723,0.31932314410480345,0.20697046460484925,0.21041744681609872,0.18458037877227568,0.050339631165394735,0.0036095334147247735,0.006202686891185137,0.022153245387869534,0.0,0.0,0.0,6.580511869045471,2.7730088822469003,1.797335856506685,1.8272695223408308,1.6028998814317954,0.43715041307766156,0.03134526389516473,0.053864263084568764,0.19237924768458178,0.0,0.0,0.0,1.4970023716616552,6.580511869045471,1.4194881309545293,0.0,0.0,0.7282831634536038,2.7730088822469003,1.0690526930530813,0.053864263084568764,1.8272695223408308,0.17273047765916916,0.2644199354184924,0.03134526389516473,0.1834117504772661,0.19237924768458178,45.271716836546396,98.42000000000002,1.9576184860190875,0.7282831634536038,1.0690526930530813,6.696222115673918,8.844653873759842,-0.0,101.04849447545286,,,True,0.7217502447316682,0.6067395438977651,0.17273047765916916,2.0,0.29576519931365713,N/A,Mg-Hornblende
18,Rutherford & Devine (2003),M56,850,130.0,,,,,46.88,1.46,7.96,,16.09,0.53,13.43,10.53,1.4,0.19,,,1123.15,1.3,,0.7802409959390187,0.33321754664549424,0.22395122901762102,0.18777082330284062,0.15613813124626083,0.045176592071508086,0.004034184404692394,0.007471418300745733,0.0182732984555308,0.0,0.0,0.0,6.676220772958499,2.8512138152284257,1.9162641479734344,1.606682393791984,1.3360136684726047,0.3865586453532715,0.03451895743075974,0.0639300399780576,0.15635755538897633,0.0,0.0,0.0,1.5192926196046717,6.676220772958499,1.3237792270415012,0.0,0.0,1.364387284464442,2.8512138152284257,0.5518768635089923,0.0639300399780576,1.606682393791984,0.3865586453532715,0.0,0.03451895743075974,0.012234441431103527,0.15635755538897633,44.63561271553556,98.47,1.9867672717907243,1.364387284464442,0.5518768635089923,12.731693763839651,4.633859451605619,-0.0,101.732320487236,,,True,0.8378306910958528,0.5980549542621352,0.3865586453532715,1.9932410391452555,0.03451895743075974,N/A,Mg-Hornblende
19,Rutherford & Devine (2003),M57,825,130.0,4.820960521697998,,,,47.49,1.38,6.96,0.03,15.19,0.58,14.28,11.14,1.28,0.15,,,1098.15,1.3,4.820960521697998,0.7903934491711604,0.3543072647876141,0.21142443559836316,0.19864833538401186,0.13652278812487129,0.041304312751093114,0.0031848824247571526,0.008176269083834951,0.017272021827830483,0.00039476229388473735,0.0,0.0,6.766661706184554,3.0332708391946244,1.8100322486419302,1.70065438352237,1.1687894470720284,0.3536116242944315,0.027266195038564325,0.06999810912788287,0.14786803814394361,0.0033796116350364256,0.0,0.0,1.518490990887559,6.766661706184554,1.1687894470720284,0.06454884674341721,0.0033796116350364256,1.2165848662582022,3.0332708391946244,0.5934473823837281,0.06999810912788287,1.70065438352237,0.29934561647763,0.054266007816801465,0.027266195038564325,0.0,0.0833191914005264,44.7834151337418,98.48000000000002,1.9857189880837312,1.2165848662582022,0.5934473823837281,11.346494890152524,4.980279077995652,-0.0,101.60249295623193,,,True,0.8363679375880878,0.6262814414427964,0.29934561647763,2.0,0.08153220285536579,N/A,Mg-Hornblende
