,Data Source,Unnamed: 1,T (C),P (kbar),T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Cr2O3_Liq,P2O5_Liq,H2O_Liq,Unnamed: 17,SiO2_Amp,TiO2_Amp,Al2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,Cr2O3_Amp,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
10,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,900,8.0,1173.15,57.9,0.43,15.9,4.91,0.21,0.79,4.71,2.46,1.8,,,9.8,,41.5,2.24,13.1,19.1,0.53,9.14,9.82,2.12,0.6,,0.6906996871047201,0.22677649861055973,0.26584639367536117,0.1751101125198381,0.25696099489020313,0.06841026799399798,0.01273952969902861,0.007471418300745733,0.028035745575608905,0.0,0.0,0.0,6.084260932260249,1.997637202696179,2.3417975383794327,1.5425164312932647,2.263527509153412,0.6026148971719887,0.11222044007009549,0.06581450567373634,0.24696231183698722,0.0,0.0,0.0,1.475790738157199,6.084260932260249,1.915739067739751,0.0,0.0,1.2741578028235097,1.997637202696179,1.067639735555923,0.06581450567373634,1.5425164312932647,0.45748356870673534,0.14513132846525334,0.11222044007009549,0.34778844141366116,0.24696231183698722,44.72584219717649,98.15,1.9298801960517218,1.2741578028235097,1.067639735555923,11.549284803821518,8.707806125387643,-0.0,101.23697112526091,,,True,0.6516987674971,0.4603450269195721,0.45748356870673534,2.0,0.2573517685353488,N/A,Tschermakitic pargasite
11,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,900,8.0,1173.15,62.6,0.26,16.3,3.62,0.15,0.51,4.2,2.72,2.63,,,10.6,,40.7,1.46,14.2,19.9,0.48,7.7,9.94,2.12,0.61,,0.6773849943412555,0.19104803493449782,0.2769813211591459,0.1772499509620357,0.2785378723237316,0.06841026799399798,0.012951855194012422,0.0067665675176565125,0.0182732984555308,0.0,0.0,0.0,6.077331266966048,1.714035896719202,2.4850081674499265,1.5902428870561889,2.4989731609767887,0.6137600686973613,0.11620085356678883,0.06070797654010894,0.16394353134792516,0.0,0.0,0.0,1.4489920887318182,6.077331266966048,1.9226687330339516,0.0,0.0,1.108030546018739,1.714035896719202,1.3769776214311875,0.06070797654010894,1.5902428870561889,0.4097571129438111,0.2040029557535502,0.11620085356678883,0.5763044279428371,0.16394353134792516,44.89196945398126,97.11,1.8948358083416084,1.108030546018739,1.3769776214311875,9.861088124794703,11.026867044304307,-0.0,99.99279097744063,,,True,0.5545222907161054,0.40819669203884884,0.4097571129438111,2.0,0.32020380932033904,N/A,Tschermakitic pargasite
12,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,800,8.0,1073.15,63.4,0.12,13.8,1.86,0.13,0.27,2.5,2.16,2.43,,,13.0,,43.1,1.22,11.8,22.3,0.54,6.84,9.9,1.65,0.61,,0.717329072631649,0.16971020246129415,0.31038610361050023,0.17653667148130317,0.2314610488323967,0.05324384065570596,0.012951855194012422,0.007612388457363577,0.015269468572429848,0.0,0.0,0.0,6.423392798528825,1.5196864785187978,2.7793824881246616,1.5808147578754925,2.0726404253427,0.4767771385302535,0.11597864432789887,0.06816587123291198,0.1367319382521018,0.0,0.0,0.0,1.4517682845656337,6.423392798528825,1.576607201471175,0.0,0.0,1.052724802486324,1.5196864785187978,1.7266576856383375,0.06816587123291198,1.5808147578754925,0.4191852421245075,0.057591896405746024,0.11597864432789887,0.49603322387152504,0.1367319382521018,44.947275197513676,97.96000000000002,1.8984662182781364,1.052724802486324,1.7266576856383375,9.38683647475113,13.8536047320767,-0.0,100.798907425106,,Low Mg# (<54),False,0.468122417609829,0.35349199799074354,0.4191852421245075,2.0,0.1735705407336449,N/A,low-Mg
13,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,800,8.0,1073.15,69.7,0.12,13.1,1.75,0.12,0.17,1.88,1.94,3.62,,,12.2,,43.5,1.42,13.1,19.5,0.66,8.27,9.66,1.84,0.59,,0.7239864190133812,0.2051905518062723,0.27141385741725355,0.17225699459690794,0.25696099489020313,0.05937494957969635,0.0125272042040448,0.009304030336777704,0.017772660141680642,0.0,0.0,0.0,6.339514134964579,1.7967303935199959,2.376608096967822,1.5083510179400639,2.2500530624054362,0.5199107638458854,0.10969320147103738,0.08146980424373312,0.1556245078984328,0.0,0.0,0.0,1.4846285136055686,6.339514134964579,1.6604858650354206,0.0,0.0,1.113363650671488,1.7967303935199959,1.263244446296334,0.08146980424373312,1.5083510179400639,0.4916489820599361,0.02826178178594929,0.10969320147103738,0.5895671973700156,0.1556245078984328,44.88663634932851,98.54,1.9414372870226666,1.113363650671488,1.263244446296334,10.152241218403272,10.364883774572125,-0.0,101.49856227999807,,,True,0.5871716231587845,0.43052592010335056,0.4916489820599361,2.0,0.13795498325698669,N/A,Tschermakitic pargasite
14,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,950,8.0,1223.15,54.7,0.57,16.41,5.88,0.25,1.25,5.08,2.46,1.82,,,7.6,,42.3,2.42,14.3,14.7,0.37,10.9,10.4,2.19,0.48,,0.7040143798681845,0.2704446208813021,0.20460429251454498,0.1854526649904599,0.2804994066358706,0.07066909759757337,0.01019162375922289,0.005215895794860228,0.030288617987934616,0.0,0.0,0.0,6.121588952340438,2.351586630541343,1.7790877750153073,1.6125593704495806,2.439015619427679,0.6144862654739696,0.08861883108488565,0.04535357655670843,0.2633674461185243,0.0,0.0,0.0,1.495067213682697,6.121588952340438,1.8784110476595623,0.0,0.0,0.8628477461963797,2.351586630541343,0.9162400288189276,0.04535357655670843,1.6125593704495806,0.38744062955041936,0.2270456359235502,0.08861883108488565,0.5606045717681165,0.2633674461185243,45.13715225380362,98.06000000000002,1.9550878948158343,0.8628477461963797,0.9162400288189276,7.923224821808136,7.570581178054775,-0.0,100.80889389467876,,,True,0.7196179221457553,0.5692984727573662,0.38744062955041936,2.0,0.31566446700843587,N/A,Tschermakitic pargasite
15,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,900,8.0,1173.15,58.6,0.4,16.3,4.45,0.2,0.9,4.64,2.44,1.81,,,9.5,,41.9,1.61,13.1,17.5,0.41,9.9,10.3,1.86,0.65,,0.6973570334864523,0.24563318777292575,0.24357653870779164,0.18366946628862854,0.25696099489020313,0.06002032946643218,0.013801157173947663,0.005779776421331604,0.0201506921324689,0.0,0.0,0.0,6.1693767749851816,2.1730671822947953,2.1548724235593766,1.6248866580292436,2.2732820030896024,0.5309877277438532,0.12209604900834052,0.0511325142016552,0.17826910186938755,0.0,0.0,0.0,1.4694582234111735,6.1693767749851816,1.8306232250148184,0.0,0.0,1.1285691503905824,2.1730671822947953,1.0263032731687942,0.0511325142016552,1.6248866580292436,0.3751133419707564,0.15587438577309676,0.12209604900834052,0.44265877807478393,0.17826910186938755,44.87143084960942,97.23,1.921599215229996,1.1285691503905824,1.0263032731687942,10.185738229390346,8.334742736550227,-0.0,100.17208018117057,,,True,0.6792171186627769,0.5021020116259025,0.3751133419707564,2.0,0.2779704347814373,N/A,Tschermakitic pargasite
16,"Alonso-Perez, R., Müntener, O., and Ulmer, P. (2009)",Calib data,850,8.0,1123.15,62.5,0.23,14.7,3.35,0.16,0.42,3.56,2.84,2.12,,,10.0,,41.9,1.4,12.4,19.5,0.49,7.3,10.4,1.92,0.58,,0.6973570334864523,0.18112346169114726,0.27141385741725355,0.1854526649904599,0.24323025470523044,0.061956469126639664,0.01231487870906099,0.006907537674274356,0.017522340984755563,0.0,0.0,0.0,6.395268418335322,1.6610331562612175,2.4890613950807,1.7007350819709623,2.2305973720852075,0.5681856370419236,0.1129363455186515,0.06334711692214746,0.16069254131540484,0.0,0.0,0.0,1.4175544859591136,6.395268418335322,1.6047315816646783,0.0,0.0,0.5748885621108357,1.6610331562612175,1.9141728329698644,0.06334711692214746,1.7007350819709623,0.29926491802903765,0.26892071901288594,0.1129363455186515,0.6258657904205291,0.16069254131540484,45.425111437889164,95.88999999999999,1.8537250970234562,0.5748885621108357,1.9141728329698644,5.005304709334714,14.996162937837925,-0.0,98.24519274419607,,Low Mg# (<54),False,0.46459788925853057,0.4002398344693445,0.29926491802903765,2.0,0.38185706453153745,N/A,low-Mg
17,"Barclay, J., Carmichael, I.S.E. (2004)",Calib data,1000,2.23,1273.15,53.1,0.49,15.61,3.238,0.09,2.7,3.8,4.67,3.35,,,5.55,,42.1,2.4,10.7,8.6,0.11,17.0,11.7,2.68,0.93,,0.7006857066773184,0.42179436284239774,0.11970047045068617,0.20863424811426737,0.2098841713988682,0.0864809048226012,0.01974627103349435,0.0015506717227962842,0.030038298831009537,0.0,0.0,0.0,6.1395151023373495,3.6958265825511347,1.0488337910784766,1.8280851242656095,1.8390371428517458,0.7577588869907886,0.1730198405214728,0.013587222302594518,0.2632001588787014,0.0,0.0,0.0,1.4836536819230761,6.1395151023373495,1.8390371428517458,0.021447754810904662,0.0,0.7685833586726787,3.6958265825511347,0.28025043240579794,0.013587222302594518,1.8280851242656095,0.17191487573439046,0.5858440112563982,0.1730198405214728,0.0,0.24175240406779674,45.23141664132732,96.22000000000001,1.9401625071301765,0.7685833586726787,0.28025043240579794,7.003749558875628,2.2979367552713867,-0.0,98.86184882127722,,,True,0.9295158440463877,0.7789443904335495,0.17191487573439046,2.0,0.758863851777871,N/A,Mg-hastingsite
18,"Barclay, J., Carmichael, I.S.E. (2004)",Calib data,1035,2.21,1308.15,52.01,0.94,16.01,5.602,0.13,2.9,4.8,5.51,3.2,,,5.36,,41.8,2.7,11.0,9.1,0.07,16.0,11.7,2.64,1.03,,0.6956926968910192,0.39698292973402144,0.12665980012805164,0.20863424811426737,0.21576877433528507,0.08519014504912954,0.02186952598333245,0.0009867910963249082,0.03379308618488573,0.0,0.0,0.0,6.152869598815549,3.511010264337765,1.12020901912964,1.845210289299772,1.9083097147837924,0.7534416502198625,0.19341922398307418,0.008727412209575796,0.2988739907236782,0.0,0.0,0.0,1.469884078369588,6.152869598815549,1.847130401184451,0.0,0.0,0.5509216533352657,3.511010264337765,0.5692873657943744,0.008727412209575796,1.845210289299772,0.15478971070022807,0.5986519395196345,0.19341922398307418,0.06117931359934148,0.2988739907236782,45.449078346664734,96.03999999999999,1.9221561024833074,0.5509216533352657,0.5692873657943744,4.973704971459581,4.624596785298042,-0.0,98.46045785924093,,Recalc Total<98.5,False,0.8604789607526894,0.7581179057686647,0.15478971070022807,2.0,0.7920711635027087,N/A,Mg-hastingsite
19,"Barclay, J., Carmichael, I.S.E. (2004)",Calib data,967,1.21,1240.15,57.08,0.42,15.96,3.49,0.05,1.45,2.7,5.65,3.98,,,4.13,,41.7,2.9,11.3,9.5,0.12,15.5,11.5,2.78,0.99,,0.6940283602955862,0.38457721317983323,0.13222726386994405,0.20506785071060468,0.22165337727170195,0.08970780425628035,0.02102022400339721,0.0016916418794141281,0.036296277754136526,0.0,0.0,0.0,6.135686765031474,3.3999263604087004,1.1689797122377044,1.8129404639928937,1.9595678954261877,0.793078523564758,0.18583319874811952,0.014955274574476556,0.3208839923214563,0.0,0.0,0.0,1.4704741342506162,6.135686765031474,1.8643132349685256,0.0,0.0,0.5224979395692841,3.3999263604087004,0.6464817726684202,0.014955274574476556,1.8129404639928937,0.18705953600710634,0.6060189875576517,0.18583319874811952,0.09525466045766207,0.3208839923214563,45.477502060430716,96.29,1.9229277140200365,0.5224979395692841,0.6464817726684202,4.71899007941504,5.253792496187602,-0.0,98.68571028962268,,,True,0.8402331768306331,0.74414450775509,0.18705953600710634,2.0,0.7918521863057713,N/A,Mg-hastingsite
